  IJet   Q2_min   Q2_max   Pt_min   Pt_max    Sigma stat.(%)  sys.(%)  tot.(%)      had  had.err       EW  JES(up)  JES(dn) EHFS(up) EHFS(dn) LArN(up) LArN(dn) Trig(up) Trig(dn) Lumi(up) Lumi(dn) TrCl(up) TrCl(dn) Mod1(up) Mod1(dn)   Ee1(up)  Ee1(dn) ThE1(up) ThE1(dn) IDe1(up) IDe1(dn) Mod2(up) Mod2(dn)   Ee2(up)  Ee2(dn) ThE2(up) ThE2(dn) IDe2(up) IDe2(dn) Mod3(up) Mod3(dn)   Ee3(up)  Ee3(dn) ThE3(up) ThE3(dn) IDe3(up) IDe3(dn) Mod4(up) Mod4(dn)   Ee4(up)  Ee4(dn) ThE4(up) ThE4(dn) IDe4(up) IDe4(dn) Mod5(up) Mod5(dn)   Ee5(up)  Ee5(dn) ThE5(up) ThE5(dn) IDe5(up) IDe5(dn) Mod6(up) Mod6(dn)   Ee6(up)  Ee6(dn) ThE6(up) ThE6(dn) IDe6(up) IDe6(dn) Bkgd(up) Bkgd(dn)  UnCorrSys
     1      270      400       18       30   6.9901      6.8      4.7      8.3     0.97      0.9     1.00     3.47    -3.69     0.17    -0.14     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     1.88    -1.88     -0.99     0.61    -0.04    -0.30     0.45    -0.45     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      270      400       30       50   0.8688     15.1      6.7     16.5     0.95      0.5     1.00     5.38    -5.69    -0.02    -0.24     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00    -3.01     3.01      0.81    -0.34    -0.10     0.41     0.43    -0.43     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      400      700        7       11  48.7892      3.2      3.3      4.6     0.93      1.2     1.00     1.24    -1.41     0.71    -0.70     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     1.53    -1.53     -1.13     1.23    -0.20     0.21     0.38    -0.38     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      400      700       11       18  26.8789      4.1      3.3      5.3     0.97      1.0     1.00     2.02    -1.98     0.45    -0.44     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     1.18    -1.18     -0.66     0.70    -0.13     0.11     0.37    -0.37     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      400      700       18       30   7.9485      6.1      5.6      8.3     0.97      0.5     1.00     3.85    -3.63     0.21    -0.38     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     3.52    -3.52     -0.84     0.81    -0.08     0.12     0.33    -0.33     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      400      700       30       50   0.8574     16.5     10.8     19.7     0.96      0.4     1.00     5.71    -5.53    -0.09    -0.12     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00    -8.95     8.95     -0.07    -0.12     0.08    -0.14     0.24    -0.24     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      700     5000        7       11  43.3435      3.5      3.5      5.0     0.92      0.9     1.02     1.04    -1.16     0.47    -0.42     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     2.17    -2.17     -0.45     0.48    -0.50     0.48     1.09    -1.09     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      700     5000       11       18  28.5001      4.0      3.3      5.2     0.97      0.5     1.02     1.62    -1.51     0.12    -0.13     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     1.38    -1.38     -0.46     0.61    -0.62     0.58     1.14    -1.14     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      700     5000       18       30  10.7061      4.9      4.6      6.7     0.97      0.4     1.03     2.74    -2.77     0.14    -0.12     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     2.75    -2.75     -0.51     0.56    -0.38     0.38     1.09    -1.09     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      700     5000       30       50   2.0424      8.5      5.7     10.2     0.96      0.3     1.02     4.77    -4.55     0.08    -0.02     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     2.11    -2.11     -0.32     0.30    -0.18     0.16     1.02    -1.02     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
