# -*-sh-*-
# Atlas inclusive jet cross sections 2011
#
# From "Measurement of inclusive jet and dijet production 
# in pp collisions at sqrt(s)= 7 TeV using the ATLAS detector"
# by the ATLAS Collaboration.
#
# Published: JHEP 1502 (2015) 153, arXiv:1410.8857
#

##########################################################
#  General parameters of this dataset
##########################################################

AlposName           "bla" # not used
Description         "ATLAS inclusive jets 2011, R04, 2.76TeV, 0.20 pb-1"
Reference           "Eur.Phys.J. C73 (2013) 2509, arXiv:1304.4739 [hep-ex]"


#
#  This dataset is not yet working:
#    + there are '5' rows of data at high-pt missing
#    + the fastNLO table must supposely change the pubunits (9->12) [editable by hand]
#




##########################################################
#  Theory function settings
#
#  fastNLO parameters, specific to this dataset
#  not specified parameters are taken from default as
#  specified in the global steering file
##########################################################
# ---- TheoryFunction: fastNLO ----
Filename			theoryfiles/fnl4352_v23_fix.tab
Units				1      # 0: absoluteUnits, 1: PublicationUnits
MuRFuncForm			0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean
MuFFuncForm		        0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean


##########################################################
#  Data table 
#  
#  Necessary keys are:
#   + ErrorSet           (Specifies the 'set' of error, which may correlated to other data sets)
#   + Data		 (the data table, bin boundaries, and errors)
#   + Errors		 (specify the used errors, and its nature)
#   + TheoryFactors     (multiplicative factors to be applied on theory) 
#   + TheoryErrors	 (additional errors on the theory [as sepcified in 'Data'])
# 
##########################################################

Data {{
   "ymin"  "ymax"  "pt1" "pt2"   "YBinSize"     "NPCorr"      "Sigma"       "stat"  "JES1_RelSys_1"  "JES1_RelSys_2"  "JES1_RelSys_3"  "JES1_RelSys_4"  "JES1_RelSys_5"  "JES1_RelSys_6"  "JES2_RelSys_7"  "JES2_RelSys_8"  "JES2_RelSys_9"  "JES2_RelSys_10"  "JES2_RelSys_11"  "JES2_RelSys_12"  "JES3_RelSys_13"  "JES3_RelSys_14"  "JES3_RelSys_15"  "JES3_RelSys_16"  "JES3_RelSys_17"  "JES3_RelSys_18"  "JES4_RelSys_19"  "JES4_RelSys_20"  "JES4_RelSys_21"  "JES4_RelSys_22"  "JES4_RelSys_23"  "JES4_RelSys_24"  "JES5_RelSys_25"  "JES5_RelSys_26"  "JES5_RelSys_27"  "JES5_RelSys_28"  "JES5_RelSys_29"  "JES5_RelSys_30"  "JES6_ForwardGenRelSys_88"  "JES7_RelSys_32"  "JES7_RelSys_33"  "JES7_RelSys_34"  "JES7_RelSys_35"  "JES7_RelSys_36"  "JES7_RelSys_37"  "JES8_RelSys_38"  "JES8_RelSys_39"  "JES8_RelSys_40"  "JES8_RelSys_41"  "JES8_RelSys_42"  "JES8_RelSys_43"  "JES9_RelSys_44"  "JES9_RelSys_45"  "JES9_RelSys_46"  "JES9_RelSys_47"  "JES9_RelSys_48"  "JES9_RelSys_49"  "JES10_RelSys_50"  "JES10_RelSys_51"  "JES10_RelSys_52"  "JES10_RelSys_53"  "JES10_RelSys_54"  "JES10_RelSys_55"  "JES11_RelSys_56"  "JES11_RelSys_57"  "JES11_RelSys_58"  "JES11_RelSys_59"  "JES11_RelSys_60"  "JES11_RelSys_61"  "JES12_RelSys_62"  "JES12_RelSys_63"  "JES12_RelSys_64"  "JES12_RelSys_65"  "JES12_RelSys_66"  "JES12_RelSys_67"  "JES13_RelSys_68"  "JES13_RelSys_69"  "JES13_RelSys_70"  "JES13_RelSys_71"  "JES13_RelSys_72"  "JES13_RelSys_73"  "UnfClosureRelSys2p76_74"  "MatchingRelSys2p76_75"  "JES15_ForwardJES_89"  "JERRelSys_76"  "JERRelSys_77"  "JERRelSys_78"  "JERRelSys_79"  "JERRelSys_80"  "JERRelSys_81"  "YResoRelSys_82"  "CleaningEffRelSys_uncorr"  "RecoEffRelSys_83"  "RecoEffRelSys_84"  "RecoEffRelSys_85"  "RecoEffRelSys_86"  "TriggerEffRelSys_uncorr"  "atlas_lumi_2p76"  
      0.0    0.3      20    30          0.6     0.882981  1.30793e+06     1.745350        11.268993         0.000000         0.000000         0.000000         0.000000         0.000000        10.935735         0.000000         0.000000          0.000000          0.000000          0.000000          7.618816          0.000000          0.000000          0.000000          0.000000          0.000000          8.224028          0.000000          0.000000          0.000000          0.000000          0.000000          4.462148          0.000000          0.000000          0.000000          0.000000          0.000000                   -0.000000          1.971828          0.000000          0.000000          0.000000          0.000000          0.000000          5.177407          0.000000          0.000000          0.000000          0.000000          0.000000          4.603981          0.000000          0.000000          0.000000          0.000000          0.000000          -0.009931           0.000000           0.000000           0.000000           0.000000           0.000000           0.012642           0.000000           0.000000           0.000000           0.000000           0.000000           1.738540           0.000000           0.000000           0.000000           0.000000           0.000000          -0.000605           0.000000           0.000000           0.000000           0.000000           0.000000                  -0.144352                 0.320062              -0.000000       -4.560350        0.000000        0.000000        0.000000        0.000000        0.000000         -0.087659                   -0.506030            2.000000            0.000000            0.000000            0.000000                   1.000000                2.7  
      0.0    0.3      30    45          0.6     0.908495       194464     2.913438         4.021622         0.000000         0.000000         0.000000         0.000000         0.000000         8.779895         0.000000         0.000000          0.000000          0.000000          0.000000          6.078513          0.000000          0.000000          0.000000          0.000000          0.000000         10.633327          0.000000          0.000000          0.000000          0.000000          0.000000          1.495965          0.000000          0.000000          0.000000          0.000000          0.000000                   -0.000000          2.917875          0.000000          0.000000          0.000000          0.000000          0.000000          3.974938          0.000000          0.000000          0.000000          0.000000          0.000000          4.704698          0.000000          0.000000          0.000000          0.000000          0.000000          -0.020133           0.000000           0.000000           0.000000           0.000000           0.000000           0.004232           0.000000           0.000000           0.000000           0.000000           0.000000           4.032820           0.000000           0.000000           0.000000           0.000000           0.000000          -0.001630           0.000000           0.000000           0.000000           0.000000           0.000000                   0.046664                 0.130713              -0.000000       -3.450492        0.000000        0.000000        0.000000        0.000000        0.000000         -0.054141                   -0.500013            1.000000            0.000000            0.000000            0.000000                   1.000000                2.7  
      0.0    0.3      45    60          0.6     0.931191      33173.5     2.554775         1.333812         0.000000         0.000000         0.000000         0.000000         0.000000         7.274111         0.000000         0.000000          0.000000          0.000000          0.000000          3.798346          0.000000          0.000000          0.000000          0.000000          0.000000          5.021393          0.000000          0.000000          0.000000          0.000000          0.000000          0.366818          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          2.889319          0.000000          0.000000          0.000000          0.000000          0.000000          2.103403          0.000000          0.000000          0.000000          0.000000          0.000000          4.048804          0.000000          0.000000          0.000000          0.000000          0.000000           0.149041           0.000000           0.000000           0.000000           0.000000           0.000000           0.028776           0.000000           0.000000           0.000000           0.000000           0.000000           4.709624           0.000000           0.000000           0.000000           0.000000           0.000000          -0.011387           0.000000           0.000000           0.000000           0.000000           0.000000                   0.198186                 0.056771               0.000000       -1.394637        0.000000        0.000000        0.000000        0.000000        0.000000          0.052376                   -0.500013            1.000000            0.000000            0.000000            0.000000                   1.000000                2.7  
      0.0    0.3      60    80          0.6     0.949931      7315.35     1.131687        -0.740926         0.000000         0.000000         0.000000         0.000000         0.000000         6.714190         0.000000         0.000000          0.000000          0.000000          0.000000          2.466395          0.000000          0.000000          0.000000          0.000000          0.000000          3.821958          0.000000          0.000000          0.000000          0.000000          0.000000          0.953599          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          3.100278          0.000000          0.000000          0.000000          0.000000          0.000000          1.561144          0.000000          0.000000          0.000000          0.000000          0.000000          4.523896          0.000000          0.000000          0.000000          0.000000          0.000000           0.398715           0.000000           0.000000           0.000000           0.000000           0.000000           0.056975           0.000000           0.000000           0.000000           0.000000           0.000000           4.469731           0.000000           0.000000           0.000000           0.000000           0.000000          -0.083880           0.000000           0.000000           0.000000           0.000000           0.000000                   0.199065                 0.023628               0.000000       -0.443835        0.000000        0.000000        0.000000        0.000000        0.000000          0.102980                   -0.500013            1.000000            0.000000            0.000000            0.000000                   1.000000                2.7  
      0.0    0.3      80   110          0.6     0.967920      1378.15     1.651251        -0.437663         0.000000         0.000000         0.000000         0.000000         0.000000         7.829881         0.000000         0.000000          0.000000          0.000000          0.000000          4.369385          0.000000          0.000000          0.000000          0.000000          0.000000          3.855742          0.000000          0.000000          0.000000          0.000000          0.000000          2.256914          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          3.542713          0.000000          0.000000          0.000000          0.000000          0.000000          1.574495          0.000000          0.000000          0.000000          0.000000          0.000000          5.196125          0.000000          0.000000          0.000000          0.000000          0.000000           1.118394           0.000000           0.000000           0.000000           0.000000           0.000000           0.087443           0.000000           0.000000           0.000000           0.000000           0.000000           2.495045           0.000000           0.000000           0.000000           0.000000           0.000000          -0.114607           0.000000           0.000000           0.000000           0.000000           0.000000                   0.193753                 0.005348               0.000000       -1.270570        0.000000        0.000000        0.000000        0.000000        0.000000         -0.069966                   -0.500013            1.000000            0.000000            0.000000            0.000000                   1.000000                2.7  
      0.0    0.3     110   160          0.6     0.982530      198.665     3.175613        -0.051777         0.000000         0.000000         0.000000         0.000000         0.000000         5.664502         0.000000         0.000000          0.000000          0.000000          0.000000          3.903812          0.000000          0.000000          0.000000          0.000000          0.000000          3.686569          0.000000          0.000000          0.000000          0.000000          0.000000          0.676968          0.000000          0.000000          0.000000          0.000000          0.000000                   -0.000000          3.208922          0.000000          0.000000          0.000000          0.000000          0.000000          0.975071          0.000000          0.000000          0.000000          0.000000          0.000000          5.821452          0.000000          0.000000          0.000000          0.000000          0.000000           1.753055           0.000000           0.000000           0.000000           0.000000           0.000000           0.144218           0.000000           0.000000           0.000000           0.000000           0.000000          -0.184906           0.000000           0.000000           0.000000           0.000000           0.000000           1.499666           0.000000           0.000000           0.000000           0.000000           0.000000                   0.285322                 0.001680              -0.000000       -1.297515        0.000000        0.000000        0.000000        0.000000        0.000000          0.089769                   -0.500013            1.000000            0.000000            0.000000            0.000000                   1.000000                2.7  
      0.0    0.3     160   210          0.6     0.990045        25.52     8.611478        -0.004880         0.000000         0.000000         0.000000         0.000000         0.000000         4.460640         0.000000         0.000000          0.000000          0.000000          0.000000          4.751728          0.000000          0.000000          0.000000          0.000000          0.000000          3.113562          0.000000          0.000000          0.000000          0.000000          0.000000          1.158114          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          2.982042          0.000000          0.000000          0.000000          0.000000          0.000000          0.771136          0.000000          0.000000          0.000000          0.000000          0.000000          7.112529          0.000000          0.000000          0.000000          0.000000          0.000000           2.836540           0.000000           0.000000           0.000000           0.000000           0.000000           0.324872           0.000000           0.000000           0.000000           0.000000           0.000000          -0.302245           0.000000           0.000000           0.000000           0.000000           0.000000           5.709749           0.000000           0.000000           0.000000           0.000000           0.000000                   0.611590                 0.004925               0.000000       -1.543833        0.000000        0.000000        0.000000        0.000000        0.000000          0.204874                   -0.500013            1.000000            0.000000            0.000000            0.000000                   1.000000                2.7  
      0.0    0.3     210   260          0.6     0.992652        4.231    19.177782        -0.001010         0.000000         0.000000         0.000000         0.000000         0.000000         5.835160         0.000000         0.000000          0.000000          0.000000          0.000000          6.030902          0.000000          0.000000          0.000000          0.000000          0.000000          2.386390          0.000000          0.000000          0.000000          0.000000          0.000000          1.755942          0.000000          0.000000          0.000000          0.000000          0.000000                   -0.000000          2.956712          0.000000          0.000000          0.000000          0.000000          0.000000          0.657718          0.000000          0.000000          0.000000          0.000000          0.000000          6.845626          0.000000          0.000000          0.000000          0.000000          0.000000           3.832582           0.000000           0.000000           0.000000           0.000000           0.000000           0.348289           0.000000           0.000000           0.000000           0.000000           0.000000          -0.067765           0.000000           0.000000           0.000000           0.000000           0.000000           7.022399           0.000000           0.000000           0.000000           0.000000           0.000000                   0.606845                 0.001341              -0.000000        0.064366        0.000000        0.000000        0.000000        0.000000        0.000000          0.140198                   -0.500013            1.000000            0.000000            0.000000            0.000000                   1.000000                2.7  
