   "ymin"  "ymax"   "pt1" "pt2"  "YBinSize"    "NPCorr"      "Sigma"       "stat"  "JES1_RelSys_1"  "JES1_RelSys_2"  "JES1_RelSys_3"  "JES1_RelSys_4"  "JES1_RelSys_5"  "JES1_RelSys_6"  "JES2_RelSys_10"  "JES2_RelSys_11"  "JES2_RelSys_12"  "JES2_RelSys_7"  "JES2_RelSys_8"  "JES2_RelSys_9"  "JES3_RelSys_13"  "JES3_RelSys_14"  "JES3_RelSys_15"  "JES3_RelSys_16"  "JES3_RelSys_17"  "JES3_RelSys_18"  "JES4_RelSys_19"  "JES4_RelSys_20"  "JES4_RelSys_21"  "JES4_RelSys_22"  "JES4_RelSys_23"  "JES4_RelSys_24"  "JES5_RelSys_25"  "JES5_RelSys_26"  "JES5_RelSys_27"  "JES5_RelSys_28"  "JES5_RelSys_29"  "JES5_RelSys_30"  "JES6_ForwardGenRelSys_88"  "JES7_RelSys_32"  "JES7_RelSys_33"  "JES7_RelSys_34"  "JES7_RelSys_35"  "JES7_RelSys_36"  "JES7_RelSys_37"  "JES8_RelSys_38"  "JES8_RelSys_39"  "JES8_RelSys_40"  "JES8_RelSys_41"  "JES8_RelSys_42"  "JES8_RelSys_43"  "JES9_RelSys_44"  "JES9_RelSys_45"  "JES9_RelSys_46"  "JES9_RelSys_47"  "JES9_RelSys_48"  "JES9_RelSys_49"  "JES10_RelSys_50"  "JES10_RelSys_51"  "JES10_RelSys_52"  "JES10_RelSys_53"  "JES10_RelSys_54"  "JES10_RelSys_55"  "JES11_RelSys_56"  "JES11_RelSys_57"  "JES11_RelSys_58"  "JES11_RelSys_59"  "JES11_RelSys_60"  "JES11_RelSys_61"  "JES12_RelSys_62"  "JES12_RelSys_63"  "JES12_RelSys_64"  "JES12_RelSys_65"  "JES12_RelSys_66"  "JES12_RelSys_67"  "JES13_RelSys_68"  "JES13_RelSys_69"  "JES13_RelSys_70"  "JES13_RelSys_71"  "JES13_RelSys_72"  "JES13_RelSys_73"  "JES15_ForwardJES_89"  "JERRelSys_76"  "JERRelSys_77"  "JERRelSys_78"  "JERRelSys_79"  "JERRelSys_80"  "JERRelSys_81"  "CleaningEffRelSys_uncorr"  "MatchingRelSys2p76_75"  "RecoEffRelSys_83"  "RecoEffRelSys_84"  "RecoEffRelSys_85"  "RecoEffRelSys_86"  "TriggerEffRelSys_uncorr"  "UnfClosureRelSys2p76_74"  "YResoRelSys_82"  "atlas_lumi_2p76"  
      0.0    0.3     260   310         0.6    1.017163        1.592    33.819024        -0.000982         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         4.623282         0.000000         0.000000          2.702226          0.000000          0.000000          0.000000          0.000000          0.000000          1.409153          0.000000          0.000000          0.000000          0.000000          0.000000          2.639277          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          2.569784          0.000000          0.000000          0.000000          0.000000          0.000000          0.727806          0.000000          0.000000          0.000000          0.000000          0.000000          7.140526          0.000000          0.000000          0.000000          0.000000          0.000000           4.447568           0.000000           0.000000           0.000000           0.000000           0.000000           0.496219           0.000000           0.000000           0.000000           0.000000           0.000000          -0.006502           0.000000           0.000000           0.000000           0.000000           0.000000           8.063217           0.000000           0.000000           0.000000           0.000000           0.000000               0.000000       -0.690801        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.003669            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.384159           0.048782                2.7  
      0.0    0.3     310   400         0.6    1.017163        0.413    46.588167        -0.000173         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         3.430091         0.000000         0.000000          3.683742          0.000000          0.000000          0.000000          0.000000          0.000000          0.677175          0.000000          0.000000          0.000000          0.000000          0.000000          3.694830          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          2.401516          0.000000          0.000000          0.000000          0.000000          0.000000          0.543756          0.000000          0.000000          0.000000          0.000000          0.000000          8.351314          0.000000          0.000000          0.000000          0.000000          0.000000           5.846820           0.000000           0.000000           0.000000           0.000000           0.000000           0.518361           0.000000           0.000000           0.000000           0.000000           0.000000          -0.002831           0.000000           0.000000           0.000000           0.000000           0.000000           9.430574           0.000000           0.000000           0.000000           0.000000           0.000000               0.000000        0.133075        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.001979            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.283257           0.091904                2.7  
      0.00   0.3     400   500         0.6    1.017163      0.06752    120.00000         0.000000         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         4.000000         0.000000         0.000000          2.850000          0.000000          0.000000          0.000000          0.000000          0.000000          0.750000          0.000000          0.000000          0.000000          0.000000          0.000000          3.400000          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          2.450000          0.000000          0.000000          0.000000          0.000000          0.000000          0.550000          0.000000          0.000000          0.000000          0.000000          0.000000          9.500000          0.000000          0.000000          0.000000          0.000000          0.000000           7.600000           0.000000           0.000000           0.000000           0.000000           0.000000           0.600000           0.000000           0.000000           0.000000           0.000000           0.000000           0.000000           0.000000           0.000000           0.000000           0.000000           0.000000          11.500000           0.000000           0.000000           0.000000           0.000000           0.000000               0.000000        1.700000        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.000000            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.400000           0.100000                2.7  # taken from pub-table


      0.3    0.8      20    30         1.0    1.239266  2.44554e+06     1.086949        12.643203         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000        10.103710         0.000000         0.000000         14.955414          0.000000          0.000000          0.000000          0.000000          0.000000          8.577972          0.000000          0.000000          0.000000          0.000000          0.000000          4.986986          0.000000          0.000000          0.000000          0.000000          0.000000                    0.136735          2.302797          0.000000          0.000000          0.000000          0.000000          0.000000          4.619946          0.000000          0.000000          0.000000          0.000000          0.000000          4.913234          0.000000          0.000000          0.000000          0.000000          0.000000          -0.005692           0.000000           0.000000           0.000000           0.000000           0.000000           0.028714           0.000000           0.000000           0.000000           0.000000           0.000000           2.980225           0.000000           0.000000           0.000000           0.000000           0.000000          -0.018875           0.000000           0.000000           0.000000           0.000000           0.000000               0.127395       -4.613047        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.557496            2.000000            0.000000            0.000000            0.000000                   1.000000                  -0.159109          -0.135280                2.7  
      0.3    0.8      30    45         1.0    1.125445       302464     1.884893         7.649264         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000        10.304825         0.000000         0.000000          9.612566          0.000000          0.000000          0.000000          0.000000          0.000000          7.632401          0.000000          0.000000          0.000000          0.000000          0.000000          2.789653          0.000000          0.000000          0.000000          0.000000          0.000000                    0.113588          2.944278          0.000000          0.000000          0.000000          0.000000          0.000000          3.375810          0.000000          0.000000          0.000000          0.000000          0.000000          5.098197          0.000000          0.000000          0.000000          0.000000          0.000000          -0.011742           0.000000           0.000000           0.000000           0.000000           0.000000           0.010847           0.000000           0.000000           0.000000           0.000000           0.000000           3.614608           0.000000           0.000000           0.000000           0.000000           0.000000          -0.153199           0.000000           0.000000           0.000000           0.000000           0.000000               0.115099       -3.287710        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.314118            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.074495          -0.709825                2.7  
      0.3    0.8      45    60         1.0    1.065953      45258.5     1.757084         1.447770         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         8.285417         0.000000         0.000000          6.649486          0.000000          0.000000          0.000000          0.000000          0.000000          3.675216          0.000000          0.000000          0.000000          0.000000          0.000000          1.776790          0.000000          0.000000          0.000000          0.000000          0.000000                    0.053895          3.052857          0.000000          0.000000          0.000000          0.000000          0.000000          1.858618          0.000000          0.000000          0.000000          0.000000          0.000000          4.587558          0.000000          0.000000          0.000000          0.000000          0.000000           0.070470           0.000000           0.000000           0.000000           0.000000           0.000000           0.001046           0.000000           0.000000           0.000000           0.000000           0.000000           2.641386           0.000000           0.000000           0.000000           0.000000           0.000000           0.211355           0.000000           0.000000           0.000000           0.000000           0.000000               0.042754       -1.123190        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.103176            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.363362          -0.075782                2.7  
      0.3    0.8      60    80         1.0    1.038549      9700.75     0.811668        -1.155711         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         6.270163         0.000000         0.000000          3.738399          0.000000          0.000000          0.000000          0.000000          0.000000          2.953070          0.000000          0.000000          0.000000          0.000000          0.000000          3.513352          0.000000          0.000000          0.000000          0.000000          0.000000                    0.052005          3.182036          0.000000          0.000000          0.000000          0.000000          0.000000          1.461176          0.000000          0.000000          0.000000          0.000000          0.000000          4.762084          0.000000          0.000000          0.000000          0.000000          0.000000           0.437766           0.000000           0.000000           0.000000           0.000000           0.000000           0.014444           0.000000           0.000000           0.000000           0.000000           0.000000           0.678348           0.000000           0.000000           0.000000           0.000000           0.000000           2.060931           0.000000           0.000000           0.000000           0.000000           0.000000               0.027463       -1.150948        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.026556            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.335531          -0.032019                2.7  
      0.3    0.8      80   110         1.0    1.024583      1790.59     1.139447        -0.461429         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         6.190029         0.000000         0.000000          3.088435          0.000000          0.000000          0.000000          0.000000          0.000000          2.877295          0.000000          0.000000          0.000000          0.000000          0.000000          2.427990          0.000000          0.000000          0.000000          0.000000          0.000000                    0.047647          3.086568          0.000000          0.000000          0.000000          0.000000          0.000000          1.193848          0.000000          0.000000          0.000000          0.000000          0.000000          5.308098          0.000000          0.000000          0.000000          0.000000          0.000000           1.226492           0.000000           0.000000           0.000000           0.000000           0.000000           0.041917           0.000000           0.000000           0.000000           0.000000           0.000000          -0.349350           0.000000           0.000000           0.000000           0.000000           0.000000           4.385274           0.000000           0.000000           0.000000           0.000000           0.000000               0.028556       -1.031484        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.006413            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.387188           0.074580                2.7  
