#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"NC e-p LH HERA II"
Reference                       "JHEP 09 (2012) 061 [arXiv:1206.7007]"  #
arXiv                           1206.7007
Title                           "Inclusive Deep Inelastic Scattering at High Q2 with Longitudinally Polarised Lepton Beams at HERA"
Inspire                         1120512


########################################################## 
#  Theory function settings 
#
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
#TheoryFunction                   QcdnumDISCS
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
#e-polarity                       -0.258444
e-polarity                       polEmLH
IsReducedCS                      true
IsNC                             true

PolErrUnc                        2.64
PolErrCorrLpol                   0.59
PolErrCorrTpol                   0.53

##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',3*'ignore', 'E3','T4','H3','N2','ignore', 'B2',3*'ignore',13*'ignore','LUMI_HERAII_beta_500', 'L10'

Data {{
  Q2         x       y   Sigma           stat     sys     tot     unc   uncE+ uncHaE+    corr   corE+  corTh+ corHaE+ corNoi+ corHTh+ corBkg+ uncEId+ unTrig+ corChA+ uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat    dmc         theo    acc    pur   stab lumi L10
    200  0.032000  0.0615 0.583843        1.38    1.73    2.21    1.51   -1.07   -0.51    0.85   -0.60   -0.56   -0.19    0.09    0.00   -0.00    0.20    0.57   -0.00    0.20    0.31   5291.0   5451.9    3.5    0.0    0.0   0.59  0.970   5.9135e-01   62.1   48.5   53.2 2.3 1.5
    200  0.050000  0.0394 0.519893        1.63    2.48    2.97    1.78   -1.47    0.02    1.73   -0.89   -0.79   -0.18    1.24   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.34   4108.0   4088.4    2.8    0.0    0.5   0.67  1.004   5.0862e-01   53.3   47.0   50.0 2.3 1.5
    200  0.080000  0.0246 0.441944        1.73    2.94    3.41    2.19   -1.90    0.19    1.96   -1.13   -0.86   -0.07    1.35    0.00   -0.01    0.20    0.57   -0.00    0.20    0.45   3451.0   3465.0    3.4    0.0    1.7   0.73  0.995   4.3632e-01   52.9   45.1   51.7 2.3 1.5
    200  0.130000  0.0151 0.358458        2.09    2.86    3.54    2.21   -1.36   -1.09    1.81   -0.80   -1.02   -0.27   -1.23    0.00   -0.00    0.20    0.57   -0.00    0.20    0.88   2752.0   2899.7    1.1    0.0    0.0   0.78  0.949   3.7117e-01   43.9   50.9   50.9 2.3 1.5
    200  0.180000  0.0109 0.304046        2.71    3.46    4.40    2.82   -1.17   -1.97    2.01   -0.83   -1.23   -0.49   -1.26   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.11   1519.0   1659.2    0.7    0.0    0.0   1.02  0.915   3.2637e-01   29.1   43.2   31.2 2.3 1.5
    250  0.013000  0.1893 0.818716        1.20    1.70    2.08    1.25    0.89    0.18    1.15    0.50   -0.66    0.03    0.79    0.00   -0.02    0.20    0.57   -0.00    0.20    0.31   7046.0   7245.4   10.9    0.0    3.9   0.46  0.971   8.2829e-01   82.7   52.6   52.6 2.3 1.5
    250  0.020000  0.1231 0.692871        1.23    1.70    2.10    1.31    0.93    0.26    1.10    0.35   -0.57    0.07    0.87   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.31   6710.0   6991.6    4.6    0.0    0.0   0.48  0.959   7.0968e-01   86.6   51.0   53.9 2.3 1.5
    250  0.032000  0.0769 0.591804        1.30    1.77    2.19    1.42    1.10   -0.11    1.06    0.52   -0.63   -0.08    0.67   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.31   6291.0   6490.0    3.5    0.0    0.0   0.49  0.969   6.0006e-01   90.9   50.5   56.5 2.3 1.5
    250  0.050000  0.0492 0.505773        1.48    1.93    2.44    1.46    1.12   -0.16    1.27    0.45   -0.57   -0.12    1.03   -0.00   -0.01    0.20    0.57   -0.00    0.20    0.33   5044.0   5212.7    3.4    0.0    1.0   0.55  0.967   5.1379e-01   83.3   50.4   52.3 2.3 1.5
    250  0.080000  0.0308 0.424119        1.52    2.52    2.94    1.11    0.41    0.34    2.26    0.18   -0.45   -0.02    2.21   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.43   4656.0   4898.5    2.0    0.0    0.0   0.56  0.950   4.3851e-01   89.3   48.1   53.6 2.3 1.5
    250  0.130000  0.0189 0.362428        1.54    2.03    2.55    1.82    1.08   -0.76    0.92    0.51   -0.56   -0.22   -0.46   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.88   4471.0   4656.5    1.5    0.0    0.0   0.57  0.960   3.7091e-01   85.8   52.3   56.7 2.3 1.5
    250  0.180000  0.0137 0.309004        2.11    3.53    4.11    2.69    1.59   -1.59    2.28    1.02   -0.80   -0.38   -1.84   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.10   2559.0   2737.0    0.9    0.0    0.0   0.74  0.935   3.2477e-01   58.6   50.5   38.3 2.3 1.5
    300  0.020000  0.1477 0.700771        1.42    1.41    2.00    1.07    0.57    0.17    0.91    0.43   -0.53    0.03    0.61    0.00   -0.02    0.20    0.57   -0.00    0.20    0.31   5050.0   5276.4    7.9    0.0    3.8   0.50  0.956   7.2037e-01   84.8   55.3   55.5 2.3 1.5
    300  0.032000  0.0923 0.585136        1.50    1.54    2.15    1.20    0.79   -0.03    0.97    0.46   -0.55   -0.03    0.65    0.00   -0.00    0.20    0.57   -0.00    0.20    0.31   4600.0   4854.6    3.9    0.0    0.7   0.52  0.947   6.0712e-01   87.2   54.9   57.4 2.3 1.5
    300  0.050000  0.0591 0.498046        1.62    2.00    2.57    1.45    1.10   -0.18    1.38    0.60   -0.66   -0.10    1.05    0.00   -0.00    0.20    0.57   -0.00    0.20    0.32   3831.0   4053.7    2.3    0.0    0.0   0.57  0.944   5.1799e-01   82.4   54.6   54.5 2.3 1.5
    300  0.080000  0.0369 0.423844        1.72    2.60    3.12    1.48    1.09    0.18    2.14    0.47   -0.69   -0.06    1.97   -0.00   -0.01    0.20    0.57   -0.00    0.20    0.42   3543.0   3744.5    2.4    0.0    0.8   0.59  0.946   4.4033e-01   86.8   51.8   54.4 2.3 1.5
    300  0.130000  0.0227 0.361125        1.71    2.17    2.76    1.89    1.35   -0.42    1.07    0.66   -0.69   -0.17    0.45    0.00   -0.00    0.20    0.57   -0.00    0.20    0.89   3605.0   3766.7    1.1    0.0    0.0   0.58  0.957   3.7076e-01   87.7   55.3   58.8 2.3 1.5
    300  0.180000  0.0164 0.301471        2.26    4.09    4.67    3.02    2.14   -1.53    2.76    1.31   -0.88   -0.36   -2.23   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.09   2119.0   2314.4    0.7    0.0    0.0   0.74  0.915   3.2355e-01   64.0   55.9   43.8 2.3 1.5
    300  0.400000  0.0074 0.14647         2.75    6.08    6.67    3.63    2.38   -1.99    4.88    1.39   -1.03   -0.41   -4.55   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.48   1410.0   1461.6    0.6    0.0    0.0   0.93  0.964   1.4921e-01   80.2   33.7   43.0 2.3 1.5
    400  0.032000  0.1231 0.609151        1.63    1.40    2.15    1.02    0.46   -0.09    0.95    0.45   -0.48   -0.02    0.69   -0.00   -0.01    0.20    0.57   -0.00    0.20    0.31   3764.0   3885.7    3.5    0.0    0.7   0.53  0.968   6.1829e-01   87.5   59.0   62.0 2.3 1.5
    400  0.050000  0.0788 0.493282        1.84    1.41    2.32    1.12    0.51   -0.34    0.85    0.50   -0.36   -0.13    0.58    0.00   -0.01    0.20    0.57   -0.00    0.20    0.32   3048.0   3297.2    3.1    0.0    1.2   0.58  0.923   5.2470e-01   84.1   59.0   59.5 2.3 1.5
    400  0.080000  0.0492 0.426379        1.91    1.97    2.74    1.05    0.27    0.23    1.67    0.22   -0.33    0.05    1.62    0.00   -0.00    0.20    0.57   -0.00    0.20    0.39   2734.0   2892.3    1.5    0.0    0.0   0.61  0.945   4.4332e-01   84.5   57.0   57.5 2.3 1.5
    400  0.130000  0.0303 0.366297        1.93    1.81    2.65    1.42    0.64   -0.16    1.12    0.55   -0.49   -0.10    0.85   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.89   2867.0   2952.4    1.4    0.0    0.0   0.60  0.971   3.7071e-01   87.7   59.1   62.1 2.3 1.5
    400  0.180000  0.0219 0.304433        2.43    3.75    4.47    2.57    1.14   -1.78    2.73    1.06   -0.54   -0.48   -2.41    0.00   -0.00    0.20    0.57   -0.00    0.20    1.07   1783.0   1918.1    0.8    0.0    0.0   0.74  0.929   3.2184e-01   66.5   64.3   51.1 2.3 1.5
    400  0.400000  0.0098 0.146378        3.09    6.59    7.28    3.24    1.27   -2.22    5.74    1.18   -0.56   -0.31   -5.58    0.00   -0.00    0.20    0.57   -0.00    0.20    1.58   1049.0   1061.6    0.5    0.0    0.0   1.00  0.988   1.4559e-01   76.8   42.8   49.7 2.3 1.5
    500  0.032000  0.1538 0.634418        1.87    1.42    2.35    1.09    0.50    0.25    0.91    0.52   -0.38   -0.03    0.65    0.00   -0.00    0.20    0.57   -0.00    0.20    0.32   2861.0   2876.1    3.3    0.0    0.0   0.58  0.994   6.2722e-01   81.4   60.8   63.3 2.3 1.5
    500  0.050000  0.0985 0.55084         1.99    1.40    2.44    1.12    0.56   -0.18    0.84    0.56   -0.32   -0.06    0.54   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.31   2607.0   2551.4    3.2    0.0    0.4   0.61  1.021   5.3019e-01   81.8   61.0   62.6 2.3 1.5
    500  0.080000  0.0615 0.424425        2.27    1.89    2.96    1.17    0.60   -0.07    1.49    0.60   -0.52   -0.02    1.26    0.00   -0.00    0.20    0.57   -0.00    0.20    0.39   2030.0   2168.4    2.5    0.0    0.0   0.65  0.935   4.4589e-01   79.3   59.3   58.6 2.3 1.5
    500  0.130000  0.0379 0.372405        2.54    1.97    3.21    1.38    0.44   -0.07    1.41    0.44   -0.38   -0.11    1.28    0.00   -0.00    0.20    0.57   -0.00    0.20    0.84   1642.0   1663.2    1.7    0.0    0.0   0.74  0.986   3.7093e-01   87.1   52.7   57.1 2.3 1.5
    500  0.180000  0.0273 0.335879        2.86    2.24    3.63    1.95    0.90   -0.92    1.11    0.90   -0.53   -0.30   -0.18   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.01   1386.0   1346.1    1.3    0.0    0.0   0.81  1.029   3.2076e-01   82.0   54.8   55.7 2.3 1.5
    500  0.250000  0.0197 0.257432        3.32    4.18    5.34    2.54    0.99   -1.69    3.32    0.99   -0.53   -0.44   -3.09   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.11    909.0    938.1    0.9    0.0    0.0   0.98  0.968   2.6122e-01   65.3   57.9   46.6 2.3 1.5
    650  0.050000  0.1280 0.532302        2.35    1.55    2.82    1.24    0.68   -0.15    0.94    0.75   -0.43   -0.12    0.34    0.00   -0.00    0.20    0.57   -0.00    0.20    0.32   1811.0   1857.6    3.0    0.0    0.0   0.70  0.973   5.3723e-01   75.1   60.8   62.7 2.3 1.5
    650  0.080000  0.0800 0.437771        2.66    1.68    3.14    1.16    0.41   -0.08    1.22    0.47   -0.30    0.07    1.08   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.38   1504.0   1569.5    2.3    0.0    0.0   0.76  0.957   4.4943e-01   72.4   60.5   59.4 2.3 1.5
    650  0.130000  0.0492 0.366378        2.94    2.15    3.64    1.55    0.70   -0.21    1.48    0.72   -0.51   -0.06    1.19    0.00   -0.00    0.20    0.57   -0.00    0.20    0.84   1159.0   1195.1    1.5    0.0    0.0   0.86  0.968   3.7161e-01   79.6   52.9   56.6 2.3 1.5
    650  0.180000  0.0356 0.319703        3.18    2.01    3.77    1.78    0.79   -0.46    0.93    0.82   -0.37   -0.17    0.17   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.02    989.0   1006.1    1.2    0.0    0.0   0.93  0.982   3.1988e-01   76.5   55.5   56.4 2.3 1.5
    650  0.250000  0.0256 0.251568        4.13    3.73    5.56    2.44    1.09   -1.40    2.82    1.06   -0.44   -0.34   -2.55   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.11    733.0    767.5    0.9    0.0    0.0   1.07  0.954   2.5905e-01   68.2   60.5   54.5 2.3 1.5
    650  0.400000  0.0160 0.12441         6.14    5.92    8.53    3.78    1.65   -2.42    4.56    1.67   -0.71   -0.63   -4.13    0.00   -0.00    0.20    0.57   -0.00    0.20    1.71    337.0    386.0    0.5    0.0    0.0   1.51  0.872   1.4018e-01   55.5   48.1   38.1 2.3 1.5
    800  0.050000  0.1575 0.548376        2.74    1.30    3.04    1.14    0.26    0.08    0.63    0.38   -0.26   -0.06    0.42   -0.00   -0.02    0.20    0.57   -0.00    0.20    0.32   1334.0   1342.6    3.4    0.0    0.9   0.82  0.991   5.4351e-01   70.4   60.0   59.7 2.3 1.5
    800  0.080000  0.0985 0.439908        3.04    1.69    3.48    1.29    0.45   -0.28    1.09    0.62   -0.46   -0.05    0.77   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.38   1085.0   1134.9    1.9    0.0    0.0   0.89  0.954   4.5281e-01   67.4   59.2   57.4 2.3 1.5
    800  0.130000  0.0606 0.345285        3.58    2.10    4.15    1.55    0.43   -0.26    1.42    0.63   -0.37   -0.07    1.21    0.00   -0.00    0.20    0.57   -0.00    0.20    0.84    783.0    858.9    1.2    0.0    0.0   1.00  0.910   3.7263e-01   71.2   53.1   54.2 2.3 1.5
    800  0.180000  0.0438 0.318359        3.75    2.04    4.27    1.84    0.59   -0.64    0.87    0.75   -0.37   -0.18    0.16   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.01    714.0    728.6    1.0    0.0    0.0   1.08  0.979   3.1960e-01   70.6   53.3   53.9 2.3 1.5
    800  0.250000  0.0315 0.245195        4.63    2.76    5.39    2.17    0.59   -1.05    1.72    0.77   -0.30   -0.23   -1.48    0.00   -0.00    0.20    0.57   -0.00    0.20    1.15    546.0    583.3    0.7    0.0    0.0   1.22  0.935   2.5768e-01   65.1   59.2   55.4 2.3 1.5
    800  0.400000  0.0197 0.136412        5.93    6.90    9.10    4.25    1.68   -2.96    5.44    1.78   -0.71   -0.76   -5.03   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.76    285.0    293.6    0.4    0.0    0.0   1.72  0.970   1.3821e-01   52.4   54.3   41.4 2.3 1.5
   1000  0.080000  0.1231 0.438911        3.43    1.41    3.71    1.14    0.05    0.18    0.84    0.17   -0.23    0.05    0.78   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.37    851.0    901.1    1.6    0.0    0.0   0.82  0.943   4.5743e-01   67.1   61.2   58.6 2.3 1.5
   1000  0.130000  0.0757 0.336775        4.21    1.97    4.65    1.52    0.29   -0.28    1.26    0.40   -0.33   -0.17    1.14   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.82    566.0    639.4    1.0    0.0    0.0   1.01  0.884   3.7442e-01   68.2   53.9   52.2 2.3 1.5
   1000  0.180000  0.0547 0.365177        3.98    2.06    4.48    1.82    0.72   -0.53    0.96    0.73   -0.43   -0.25    0.37    0.00   -0.00    0.20    0.57   -0.00    0.20    1.01    634.0    564.5    0.9    0.0    0.0   1.03  1.122   3.1984e-01   68.8   53.8   52.8 2.3 1.5
   1000  0.250000  0.0394 0.263764        4.61    2.81    5.40    2.25    0.90   -1.12    1.68    1.01   -0.45   -0.34   -1.22    0.00   -0.00    0.20    0.57   -0.00    0.20    1.14    471.0    465.8    0.6    0.0    0.0   1.13  1.010   2.5660e-01   67.0   56.5   54.1 2.3 1.5
   1000  0.400000  0.0246 0.128848        6.56    6.42    9.18    4.16    1.84   -2.83    4.89    1.55   -0.48   -0.56   -4.58   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.74    233.0    250.5    0.3    0.0    0.0   1.55  0.929   1.3629e-01   57.6   54.0   44.9 2.3 1.5
   1200  0.080000  0.1477 0.454282        3.73    1.58    4.05    1.38    0.93   -0.19    0.77    0.58   -0.27   -0.15    0.40    0.00   -0.00    0.20    0.57   -0.00    0.20    0.36    720.0    744.2    1.4    0.0    0.0   0.65  0.966   4.6217e-01   70.5   64.8   64.5 2.3 1.5
   1200  0.130000  0.0909 0.356585        5.38    1.76    5.66    1.51    0.73   -0.09    0.90    0.43   -0.14   -0.02    0.78    0.00   -0.00    0.20    0.57   -0.00    0.20    0.84    477.0    511.9    0.9    0.0    0.0   0.77  0.930   3.7661e-01   68.1   58.0   55.5 2.3 1.5
   1200  0.180000  0.0656 0.327541        4.65    1.92    5.03    1.71    0.83   -0.34    0.87    0.63   -0.35   -0.15    0.47    0.00   -0.00    0.20    0.57   -0.00    0.20    1.01    463.0    460.7    0.7    0.0    0.0   0.80  1.004   3.2060e-01   72.3   56.5   57.3 2.3 1.5
   1200  0.250000  0.0473 0.218605        5.58    2.35    6.06    2.16    1.27   -0.74    0.93    0.82   -0.27   -0.19   -0.29    0.00   -0.00    0.20    0.57   -0.00    0.20    1.13    322.0    383.4    0.6    0.0    0.0   0.89  0.838   2.5615e-01   69.0   60.8   58.4 2.3 1.5
   1200  0.400000  0.0295 0.125204        7.08    6.21    9.42    4.36    2.61   -2.68    4.42    1.58   -0.33   -0.62   -4.06    0.00   -0.00    0.20    0.57   -0.00    0.20    1.78    200.0    219.2    0.3    0.0    0.0   1.18  0.911   1.3497e-01   65.0   57.3   52.9 2.3 1.5
   1500  0.080000  0.1846 0.507605        4.05    1.42    4.29    1.23    0.64    0.13    0.70    0.42   -0.17   -0.01    0.53   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.36    612.0    575.2    1.3    0.0    0.0   0.72  1.062   4.6966e-01   69.2   67.0   67.2 2.3 1.5
   1500  0.130000  0.1136 0.357715        5.25    2.02    5.63    1.79    1.12   -0.18    0.92    0.72   -0.27   -0.13    0.49    0.00   -0.00    0.20    0.57   -0.00    0.20    0.85    364.0    393.3    0.7    0.0    0.0   0.86  0.924   3.8046e-01   67.7   60.8   58.7 2.3 1.5
   1500  0.180000  0.0820 0.312078        5.42    2.15    5.83    1.89    1.13   -0.23    1.01    0.60   -0.11   -0.05    0.80   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.00    341.0    358.1    0.5    0.0    0.0   0.90  0.951   3.2245e-01   69.9   59.5   58.5 2.3 1.5
   1500  0.250000  0.0591 0.233794        6.05    2.42    6.52    2.24    1.29   -0.85    0.90    0.68   -0.18   -0.25   -0.51    0.00   -0.00    0.20    0.57   -0.00    0.20    1.12    274.0    305.2    0.5    0.0    0.0   0.98  0.896   2.5627e-01   71.2   61.1   61.6 2.3 1.5
   1500  0.400000  0.0369 0.137766        8.82    5.36   10.32    4.02    2.35   -2.33    3.54    1.51   -0.30   -0.61   -3.13    0.00   -0.00    0.20    0.57   -0.00    0.20    1.80    190.0    187.5    0.3    0.0    0.0   1.24  1.012   1.3370e-01   70.9   61.3   62.0 2.3 1.5
   1500  0.650000  0.0227 0.0149524      14.78   12.91   19.63    6.93    4.41   -4.39   10.90    3.27   -0.40   -0.95  -10.34    0.00   -0.00    0.20    0.57   -0.00    0.20    1.91     46.0     52.1    0.1    0.0    0.0   2.26  0.880   1.6685e-02   90.1   39.7   61.4 2.3 1.5
   2000  0.130000  0.1515 0.371875        5.98    1.83    6.25    1.64    0.72   -0.06    0.80    0.48   -0.24    0.04    0.59   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.88    281.0    298.0    0.6    0.0    0.0   0.98  0.941   3.8818e-01   64.9   64.6   61.0 2.3 1.5
   2000  0.180000  0.1094 0.302285        6.52    2.39    6.95    2.17    1.45   -0.23    1.01    0.79   -0.26   -0.16    0.54    0.00   -0.00    0.20    0.57   -0.00    0.20    1.01    236.0    259.2    0.5    0.0    0.0   1.04  0.909   3.2683e-01   66.1   61.9   58.8 2.3 1.5
   2000  0.250000  0.0788 0.25281         6.68    2.34    7.08    2.20    1.28   -0.56    0.81    0.67   -0.30   -0.13   -0.31   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.11    225.0    233.2    0.4    0.0    0.0   1.10  0.963   2.5778e-01   68.9   62.5   62.1 2.3 1.5
   2000  0.400000  0.0492 0.127107        8.56    4.82    9.82    3.87    2.33   -1.97    2.88    1.36   -0.13   -0.55   -2.47   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.81    137.0    145.3    0.2    0.0    0.0   1.38  0.941   1.3264e-01   70.8   61.5   63.0 2.3 1.5
   2000  0.650000  0.0303 0.0108122      19.67   13.29   23.74    8.15    5.31   -5.23   10.50    2.50   -0.39   -1.12  -10.13   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.89     26.0     39.5    0.1    0.0    0.0   2.60  0.656   1.6190e-02   86.2   41.7   61.6 2.3 1.5
   3000  0.180000  0.1641 0.293693        6.14    2.04    6.48    1.87    1.02    0.19    0.83    0.55   -0.11   -0.06    0.61   -0.00   -0.00    0.31    0.57   -0.00    0.20    1.01    266.0    311.7    0.6    0.0    0.0   0.95  0.852   3.3877e-01   56.3   69.1   62.2 2.3 1.5
   3000  0.250000  0.1181 0.216905        6.55    2.36    6.96    2.16    1.36   -0.40    0.96    0.86   -0.06   -0.15   -0.38    0.00   -0.00    0.26    0.57   -0.00    0.20    1.11    234.0    289.1    0.5    0.0    0.0   0.98  0.808   2.6377e-01   61.2   68.9   65.5 2.3 1.5
   3000  0.400000  0.0738 0.126761        7.49    4.72    8.85    4.03    2.77   -1.83    2.44    1.71   -0.18   -0.40   -1.69   -0.00   -0.00    0.24    0.57   -0.00    0.20    1.81    179.0    190.6    0.3    0.0    0.0   1.21  0.938   1.3279e-01   66.4   66.7   68.2 2.3 1.5
   3000  0.650000  0.0454 0.0132656      14.62   10.75   18.15    6.92    4.13   -4.71    8.23    2.69   -0.28   -1.38   -7.65   -0.00   -0.00    0.23    0.57   -0.00    0.20    1.90     47.0     56.5    0.1    0.0    0.0   2.15  0.830   1.5693e-02   93.4   44.7   73.4 2.3 1.5
   5000  0.400000  0.1231 0.107002        9.88    3.95   10.63    3.51    1.93   -1.48    1.80    1.41   -0.09   -0.54   -0.99   -0.00   -0.00    0.85    0.57   -0.00    0.20    1.78    103.0    133.7    0.2    0.0    0.0   1.43  0.769   1.3672e-01   68.9   65.2   70.5 2.3 1.5
   5000  0.650000  0.0757 0.014649       16.48    9.14   18.84    7.19    4.40   -4.59    5.64    2.53    0.24   -1.02   -4.93   -0.00   -0.00    0.85    0.57   -0.00    0.20    1.92     37.0     39.6    0.1    0.0    0.0   2.54  0.932   1.5439e-02  103.0   40.5   73.8 2.3 1.5
   8000  0.650000  0.1212 0.0105577      21.89    7.16   23.03    6.35    3.71   -3.52    3.31    2.15    0.36   -0.82   -2.36    0.00   -0.00    1.00    0.57   -0.00    0.21    1.98     21.0     31.6    0.1    0.0    0.0   2.81  0.663   1.5644e-02  143.1   46.1   84.8 2.3 1.5
  12000  0.650000  0.1818 0.0146521      27.80    7.47   28.78    6.56    4.81   -3.13    3.56    2.71    0.51   -0.95   -2.05   -0.00   -0.00    1.00    0.57   -0.00    0.82    2.00     13.0     14.6    0.0    0.0    0.0   1.78  0.887   1.6223e-02  122.6   54.2   83.7 2.3 1.5
}}

Subsets { Q2 }

Cuts { }

TheoryFactors { }

ErrorSet                   "H1"
ErrorUnit                  percent

Errors {{
 ErrorName       Column           Correlation      Nature
  Stat            stat              0               P
  uncor           unc               0               M
  E3              corE+             1               M
  T4             corTh+             1               M   
  H3             corHaE+            1               M   
  N2             corNoi+            1               M   
  B2             corBkg+            1               M   
  Lumi_beta_500   2.3               1               M   
  L10             1.5               1               M   
# ignor   corHTh+
#  3*ignore:  uncEId+ unTrig+ corChA+
#  13*ignore uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat dmc         theo    acc pur   stab
}}






