#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"NC e-p RH HERA II"
Reference                       "JHEP 09 (2012) 061, arXiv:1206.7007"  #


########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
#e-polarity                       0.360315
e-polarity                       polEmRH
IsReducedCS                      true
IsNC                             true

PolErrUnc                        2.68
PolErrCurrLPol                   0.55   
PolErrCorrTPol                   0.58

##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',3*'ignore', 'E3','T4','H3','N2','ignore', 'B2',3*'ignore', 13*'ignore','LUMI_HERAII_beta_500', 'L11'
Data {{
    Q2         x       y   Sigma         stat     sys     tot     unc   uncE+ uncHaE+    corr  corE+  corTh+ corHaE+ corNoi+ corHTh+ corBkg+ uncEId+ unTrig+ corChA+ uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat    dmc         theo    acc    pur   stab  lumi L11
    200  0.180000  0.0109 0.310887       4.12    3.53    5.42    2.83   -1.44   -1.77    2.10   -0.96   -0.75   -0.31   -1.69    0.00   -0.00    0.20    0.57   -0.00    0.20    1.11    735.0    779.1    0.3    0.0    0.0   1.08  0.943   3.2387e-01   30.0   43.2   30.6  2.3 1.5
    250  0.013000  0.1893 0.796605       1.80    1.75    2.51    1.32    0.94    0.26    1.15    0.47   -0.65    0.04    0.83    0.00   -0.03    0.20    0.57   -0.00    0.20    0.31   3111.0   3248.0    6.9    0.0    3.4   0.49  0.956   8.1879e-01   83.2   53.0   53.1  2.3 1.5
    250  0.020000  0.1231 0.668022       1.86    1.59    2.44    1.25    0.85    0.18    0.98    0.30   -0.46    0.05    0.81   -0.00   -0.03    0.20    0.57   -0.00    0.20    0.31   2914.0   3110.1    5.4    0.0    3.0   0.51  0.935   7.0169e-01   87.0   51.4   54.3  2.3 1.5
    250  0.032000  0.0769 0.564878       1.95    1.66    2.57    1.34    0.99   -0.08    0.98    0.43   -0.56   -0.12    0.66   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.31   2707.0   2893.4    1.7    0.0    0.0   0.53  0.935   5.9347e-01   90.1   51.4   56.6  2.3 1.5
    250  0.050000  0.0492 0.466936       2.20    1.88    2.90    1.25    0.82    0.05    1.41    0.29   -0.44   -0.02    1.31    0.00   -0.00    0.20    0.57   -0.00    0.20    0.33   2150.0   2381.3    1.1    0.0    0.0   0.58  0.902   5.0830e-01   84.9   50.9   53.2  2.3 1.5
    250  0.080000  0.0308 0.42981        2.24    2.45    3.32    1.33    0.88    0.09    2.06    0.44   -0.65   -0.07    1.90   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.43   2153.0   2212.2    0.9    0.0    0.0   0.60  0.973   4.3399e-01   90.1   48.4   54.4  2.3 1.5
    250  0.130000  0.0189 0.37044        2.29    1.98    3.03    1.74    1.09   -0.48    0.95    0.53   -0.65   -0.23    0.39   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.89   2077.0   2095.5    0.7    0.0    0.0   0.60  0.991   3.6725e-01   86.4   52.6   56.5  2.3 1.5
    250  0.180000  0.0137 0.303069       3.24    3.84    5.03    2.85    1.90   -1.51    2.57    1.11   -0.67   -0.29   -2.20   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.10   1171.0   1264.8    0.5    0.0    0.0   0.78  0.925   3.2168e-01   60.3   49.8   38.7  2.3 1.5
    300  0.020000  0.1477 0.691762       2.10    1.54    2.61    1.15    0.69    0.14    1.03    0.55   -0.61    0.01    0.61   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.31   2263.0   2364.5    2.2    0.0    0.0   0.53  0.956   7.1069e-01   84.9   56.0   56.1  2.3 1.5
    300  0.032000  0.0923 0.592588       2.18    1.67    2.74    1.29    0.90   -0.07    1.07    0.55   -0.58   -0.11    0.70    0.00   -0.00    0.20    0.57   -0.00    0.20    0.31   2117.0   2177.4    1.6    0.0    0.2   0.55  0.972   5.9916e-01   86.9   55.6   57.4  2.3 1.5
    300  0.050000  0.0591 0.500459       2.46    1.92    3.12    1.52    1.17   -0.13    1.17    0.61   -0.67   -0.07    0.73   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.32   1735.0   1803.7    1.1    0.0    0.0   0.60  0.961   5.1139e-01   82.2   54.8   53.9  2.3 1.5
    300  0.080000  0.0369 0.426074       2.56    2.66    3.69    1.40    0.91    0.37    2.26    0.29   -0.60   -0.04    2.15   -0.00   -0.01    0.20    0.57   -0.00    0.20    0.42   1619.0   1681.2    1.1    0.0    0.3   0.62  0.962   4.3491e-01   86.9   53.0   55.4  2.3 1.5
    300  0.130000  0.0227 0.35235        2.61    2.23    3.43    1.89    1.33   -0.42    1.17    0.73   -0.60   -0.17    0.67   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.89   1558.0   1648.5    0.8    0.0    0.2   0.62  0.945   3.6640e-01   86.7   54.7   57.5  2.3 1.5
    300  0.180000  0.0164 0.284144       3.47    4.41    5.61    3.26    2.22   -1.87    2.96    1.40   -0.95   -0.42   -2.40   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.09    912.0   1044.7    0.4    0.0    0.0   0.78  0.873   3.1988e-01   63.5   57.2   44.1  2.3 1.5
    300  0.400000  0.0074 0.152038       3.91    6.11    7.25    3.41    2.10   -1.91    5.07    1.16   -0.76   -0.31   -4.86   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.48    655.0    647.5    0.3    0.0    0.0   0.99  1.011   1.4771e-01   80.5   33.7   41.9  2.3 1.5
    400  0.032000  0.1231 0.589473       2.46    1.35    2.80    1.07    0.50    0.18    0.82    0.49   -0.44   -0.08    0.48   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.31   1661.0   1741.5    1.3    0.0    0.0   0.57  0.953   6.0760e-01   88.2   59.2   62.3  2.3 1.5
    400  0.050000  0.0788 0.494086       2.70    1.44    3.05    1.20    0.52   -0.48    0.79    0.51   -0.44   -0.11    0.41   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.32   1377.0   1462.7    0.9    0.0    0.0   0.62  0.941   5.1589e-01   83.0   59.9   59.7  2.3 1.5
    400  0.080000  0.0492 0.398567       3.05    2.34    3.85    1.18    0.27    0.55    2.02    0.24   -0.35    0.07    1.98    0.00   -0.00    0.20    0.57   -0.00    0.20    0.40   1160.0   1291.2    0.9    0.0    0.2   0.65  0.898   4.3613e-01   85.6   57.4   58.4  2.3 1.5
    400  0.130000  0.0303 0.365737       2.96    2.03    3.59    1.53    0.75   -0.39    1.33    0.69   -0.59   -0.21    0.95    0.00   -0.00    0.20    0.57   -0.00    0.20    0.89   1302.0   1321.9    0.7    0.0    0.0   0.63  0.984   3.6497e-01   88.0   59.0   61.5  2.3 1.5
    400  0.180000  0.0219 0.306632       3.45    3.71    5.07    2.34    0.96   -1.53    2.88    0.90   -0.44   -0.31   -2.68   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.08    839.0    882.6    0.4    0.0    0.0   0.77  0.950   3.1703e-01   68.7   62.9   51.3  2.3 1.5
    400  0.400000  0.0098 0.147854       4.99    6.53    8.22    3.43    1.51   -2.33    5.55    1.43   -0.89   -0.44   -5.27   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.59    477.0    471.5    0.2    0.0    0.0   1.06  1.011   1.4365e-01   76.7   43.3   49.9  2.3 1.5
    500  0.032000  0.1538 0.583151       2.89    1.46    3.24    1.11    0.49    0.28    0.95    0.49   -0.35    0.16    0.71    0.00   -0.00    0.20    0.57   -0.00    0.20    0.31   1199.0   1282.9    1.7    0.0    0.2   0.61  0.933   6.1382e-01   81.9   61.1   63.7  2.3 1.5
    500  0.050000  0.0985 0.514507       3.01    1.64    3.43    1.30    0.77   -0.35    1.00    0.78   -0.50   -0.23    0.32   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.32   1107.0   1135.7    1.4    0.0    0.1   0.65  0.973   5.1919e-01   82.0   61.1   63.0  2.3 1.5
    500  0.080000  0.0615 0.43209        3.28    2.03    3.86    1.15    0.34    0.37    1.68    0.34   -0.35    0.04    1.60    0.00   -0.00    0.20    0.57   -0.00    0.20    0.38    933.0    959.4    1.1    0.0    0.0   0.69  0.971   4.3697e-01   79.1   60.3   59.7  2.3 1.5
    500  0.130000  0.0379 0.36762        4.14    2.18    4.68    1.56    0.80   -0.20    1.52    0.80   -0.54   -0.11    1.17    0.00   -0.00    0.20    0.57   -0.00    0.20    0.84    729.0    733.6    0.8    0.0    0.0   0.78  0.993   3.6383e-01   86.9   52.7   56.6  2.3 1.5
    500  0.180000  0.0273 0.320863       4.06    2.16    4.60    1.84    0.78   -0.72    1.12    0.78   -0.69   -0.30   -0.29   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.01    608.0    606.7    0.6    0.0    0.0   0.89  1.001   3.1484e-01   83.1   54.8   56.4  2.3 1.5
    500  0.250000  0.0197 0.243994       5.05    4.68    6.88    2.74    1.22   -1.82    3.79    1.22   -0.60   -0.36   -3.51    0.00   -0.00    0.20    0.57   -0.00    0.20    1.11    393.0    420.3    0.4    0.0    0.0   1.03  0.934   2.5661e-01   65.2   57.9   46.4  2.3 1.5
    650  0.050000  0.1280 0.548926       3.46    1.41    3.74    1.14    0.42    0.10    0.83    0.50   -0.26    0.07    0.61    0.00   -0.00    0.20    0.57   -0.00    0.20    0.32    837.0    810.5    1.3    0.0    0.0   0.75  1.031   5.2298e-01   74.3   60.7   62.4  2.3 1.5
    650  0.080000  0.0800 0.408615       4.01    1.71    4.36    1.29    0.62   -0.20    1.12    0.64   -0.36   -0.12    0.84   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.37    625.0    680.7    1.1    0.0    0.1   0.81  0.917   4.3793e-01   71.8   60.9   59.2  2.3 1.5
    650  0.130000  0.0492 0.334067       4.99    2.07    5.40    1.50    0.47   -0.22    1.43    0.52   -0.25   -0.13    1.30    0.00   -0.00    0.20    0.57   -0.00    0.20    0.84    479.0    528.4    0.7    0.0    0.0   0.91  0.905   3.6253e-01   79.8   54.3   57.8  2.3 1.5
    650  0.180000  0.0356 0.331135       4.67    1.89    5.04    1.70    0.61   -0.26    0.83    0.63   -0.38   -0.13   -0.38   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.01    460.0    441.2    0.5    0.0    0.0   0.99  1.041   3.1235e-01   77.0   55.2   56.8  2.3 1.5
    650  0.250000  0.0256 0.25113        5.55    4.20    6.96    2.90    1.44   -1.83    3.04    1.42   -0.56   -0.51   -2.58   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.12    325.0    333.2    0.4    0.0    0.0   1.14  0.974   2.5322e-01   67.4   59.9   53.6  2.3 1.5
    650  0.400000  0.0160 0.112601       8.49    5.06    9.89    3.44    1.47   -1.94    3.71    1.46   -0.74   -0.33   -3.31    0.00   -0.00    0.20    0.57   -0.00    0.20    1.69    139.0    172.2    0.2    0.0    0.0   1.59  0.806   1.3724e-01   55.6   47.5   37.2  2.3 1.5
    800  0.050000  0.1575 0.544426       4.04    1.38    4.27    1.17    0.24    0.17    0.73    0.48   -0.35    0.06    0.41   -0.00   -0.01    0.20    0.57   -0.00    0.20    0.32    614.0    602.7    1.3    0.0    0.2   0.86  1.017   5.2608e-01   71.4   59.7   60.5  2.3 1.5
    800  0.080000  0.0985 0.382422       4.83    1.65    5.10    1.26    0.31   -0.07    1.06    0.53   -0.44   -0.06    0.81   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.38    430.0    501.2    0.9    0.0    0.0   0.94  0.856   4.3881e-01   67.6   59.6   57.8  2.3 1.5
    800  0.130000  0.0606 0.357491       5.90    2.02    6.24    1.57    0.19    0.34    1.27    0.45   -0.40   -0.03    1.12    0.00   -0.02    0.20    0.57   -0.00    0.20    0.83    360.0    369.9    0.7    0.0    0.2   1.08  0.971   3.6162e-01   70.3   53.0   53.2  2.3 1.5
    800  0.180000  0.0438 0.31726        6.28    2.39    6.72    2.02    0.86   -0.74    1.28    1.02   -0.47   -0.28   -0.55   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.01    325.0    323.4    0.5    0.0    0.0   1.15  1.004   3.1050e-01   71.2   54.0   55.0  2.3 1.5
    800  0.250000  0.0315 0.2262         6.66    3.16    7.37    2.48    0.99   -1.32    1.95    1.20   -0.40   -0.26   -1.46   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.14    226.0    254.6    0.3    0.0    0.0   1.30  0.886   2.5066e-01   64.6   58.2   54.1  2.3 1.5
    800  0.400000  0.0197 0.12048        9.46    7.23   11.91    4.15    1.43   -2.88    5.92    1.54   -0.56   -0.85   -5.63   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.74    112.0    127.3    0.2    0.0    0.0   1.85  0.879   1.3471e-01   53.4   52.7   41.1  2.3 1.5
   1000  0.080000  0.1231 0.415741       5.21    1.55    5.43    1.30    0.57    0.16    0.85    0.41   -0.32    0.11    0.66    0.00   -0.00    0.20    0.57   -0.00    0.20    0.36    370.0    398.0    0.7    0.0    0.0   0.87  0.928   4.4016e-01   67.0   62.6   59.2  2.3 1.5
   1000  0.130000  0.0757 0.387919       5.82    2.10    6.19    1.52    0.19    0.32    1.45    0.46   -0.26   -0.02    1.35    0.00   -0.00    0.20    0.57   -0.00    0.20    0.82    296.0    279.9    0.5    0.0    0.0   1.02  1.056   3.6093e-01   67.6   54.2   51.4  2.3 1.5
   1000  0.180000  0.0547 0.298549       6.43    1.89    6.70    1.79    0.49   -0.59    0.63    0.41   -0.33   -0.12   -0.32   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.01    243.0    255.4    0.4    0.0    0.0   1.07  0.950   3.0874e-01   72.3   52.5   54.3  2.3 1.5
   1000  0.250000  0.0394 0.275898       6.71    2.22    7.06    2.01    0.64   -0.64    0.96    0.75   -0.24   -0.25    0.48    0.00   -0.00    0.20    0.57   -0.00    0.20    1.14    223.0    203.9    0.3    0.0    0.0   1.21  1.092   2.4808e-01   65.9   57.3   53.4  2.3 1.5
   1000  0.400000  0.0246 0.126008       9.92    7.87   12.66    4.75    2.23   -3.36    6.28    1.75   -0.65   -0.72   -5.95   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.73    102.0    108.7    0.1    0.0    0.0   1.67  0.937   1.3209e-01   57.9   51.5   43.4  2.3 1.5
   1200  0.080000  0.1477 0.461643       5.53    1.63    5.77    1.41    0.93   -0.24    0.83    0.62   -0.27   -0.09    0.47   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.36    328.0    318.9    0.6    0.0    0.0   0.69  1.027   4.4173e-01   69.6   65.4   64.1  2.3 1.5
   1200  0.130000  0.0909 0.337202       7.00    1.90    7.25    1.57    0.81    0.04    1.07    0.60   -0.25   -0.04    0.85   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.84    205.0    222.8    0.4    0.0    0.0   0.81  0.918   3.6070e-01   69.4   58.0   56.3  2.3 1.5
   1200  0.180000  0.0656 0.269597       7.60    2.04    7.86    1.93    1.15   -0.48    0.65    0.57   -0.12   -0.10    0.27   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.01    174.0    201.7    0.3    0.0    0.0   0.86  0.861   3.0756e-01   73.1   57.5   58.5  2.3 1.5
   1200  0.250000  0.0473 0.219114       8.26    2.05    8.51    1.92    0.89   -0.59    0.71    0.58   -0.29   -0.18    0.22   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.11    147.0    167.8    0.2    0.0    0.0   0.94  0.874   2.4618e-01   70.4   60.9   58.9  2.3 1.5
   1200  0.400000  0.0295 0.132818      10.01    6.61   12.00    4.37    2.59   -2.70    4.96    1.87   -0.33   -0.84   -4.51   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.78    100.0     99.6    0.1    0.0    0.0   1.22  1.003   1.3009e-01   67.6   58.6   55.4  2.3 1.5
   1500  0.080000  0.1846 0.455921       6.35    1.42    6.51    1.32    0.76   -0.07    0.52    0.33   -0.16    0.02    0.37   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.36    249.0    246.6    0.6    0.0    0.0   0.77  1.007   4.4461e-01   70.2   65.9   66.3  2.3 1.5
   1500  0.130000  0.1136 0.331614      10.17    1.69   10.30    1.48    0.41    0.14    0.81    0.41    0.12    0.06    0.69    0.00   -0.00    0.20    0.57   -0.00    0.20    0.85    154.0    170.3    0.3    0.0    0.0   0.91  0.902   3.6108e-01   68.3   60.5   58.8  2.3 1.5
   1500  0.180000  0.0820 0.267286       8.79    2.18    9.05    1.91    1.11   -0.21    1.04    0.70   -0.35   -0.31    0.61    0.00   -0.00    0.20    0.57   -0.00    0.20    1.01    130.0    151.5    0.3    0.0    0.0   0.97  0.856   3.0662e-01   69.8   60.0   59.4  2.3 1.5
   1500  0.250000  0.0591 0.253441       8.68    2.59    9.06    2.43    1.48   -0.98    0.89    0.82    0.11    0.21   -0.26    0.00   -0.00    0.20    0.57   -0.00    0.20    1.11    133.0    130.3    0.2    0.0    0.0   1.03  1.019   2.4424e-01   70.3   62.0   61.2  2.3 1.5
   1500  0.400000  0.0369 0.0924395     13.16    5.02   14.08    3.83    2.26   -2.00    3.25    1.26   -0.38   -0.53   -2.92   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.80     58.0     81.5    0.1    0.0    0.0   1.37  0.710   1.2786e-01   71.0   61.2   61.2  2.3 1.5
   1500  0.650000  0.0227 0.0125275     23.63   13.28   27.10    7.54    4.91   -4.80   10.93    2.61   -0.52   -1.01  -10.55   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.91     18.0     23.4    0.0    0.0    0.0   2.36  0.769   1.6009e-02   93.8   38.4   63.7  2.3 1.5
   2000  0.130000  0.1515 0.313045       9.69    1.91    9.88    1.71    0.73    0.34    0.85    0.17   -0.18    0.15    0.80   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.88    107.0    126.1    0.3    0.0    0.0   1.04  0.846   3.6331e-01   64.8   64.5   60.2  2.3 1.5
   2000  0.180000  0.1094 0.290751       9.83    2.38   10.11    2.18    1.38   -0.43    0.94    0.80   -0.25   -0.08    0.42   -0.00   -0.00    0.20    0.57   -0.00    0.20    1.01    104.0    111.4    0.2    0.0    0.0   1.10  0.931   3.0665e-01   66.6   62.7   59.9  2.3 1.5
   2000  0.250000  0.0788 0.229854      10.39    2.63   10.72    2.42    1.46   -0.84    1.04    0.96   -0.24   -0.28   -0.16    0.00   -0.00    0.20    0.57   -0.00    0.20    1.11     93.0     99.7    0.2    0.0    0.0   1.16  0.931   2.4255e-01   68.7   63.8   62.4  2.3 1.5
   2000  0.400000  0.0492 0.120368      12.93    4.25   13.61    3.47    1.96   -1.54    2.46    1.25   -0.05   -0.40   -2.08    0.00   -0.00    0.20    0.57   -0.00    0.20    1.80     60.0     63.5    0.1    0.0    0.0   1.46  0.943   1.2534e-01   72.0   60.8   62.7  2.3 1.5
   2000  0.650000  0.0303 0.00795068    33.44   12.71   35.78    7.79    4.64   -5.28   10.04    2.98   -0.66   -0.96   -9.52    0.00   -0.00    0.20    0.57   -0.00    0.20    1.91      9.0     17.6    0.0    0.0    0.0   2.69  0.508   1.5363e-02   91.6   39.2   62.1  2.3 1.5
   3000  0.180000  0.1641 0.305736       9.00    2.24    9.27    2.05    1.27    0.21    0.89    0.78   -0.09   -0.09    0.41    0.00   -0.00    0.31    0.57   -0.00    0.20    1.01    124.0    128.0    0.3    0.0    0.0   1.02  0.967   3.1072e-01   56.7   68.4   62.3  2.3 1.5
   3000  0.250000  0.1181 0.287738       8.59    2.50    8.95    2.32    1.56   -0.37    0.95    0.86   -0.09    0.06    0.38   -0.00   -0.00    0.27    0.57   -0.00    0.20    1.10    136.0    116.7    0.2    0.0    0.0   1.06  1.164   2.4283e-01   59.1   70.2   64.5  2.3 1.5
   3000  0.400000  0.0738 0.0907425     12.93    3.85   13.50    3.43    2.12   -1.39    1.76    1.28   -0.19   -0.44   -1.10    0.00   -0.00    0.24    0.57   -0.00    0.20    1.81     60.0     82.6    0.1    0.0    0.0   1.27  0.725   1.2295e-01   67.3   66.6   69.6  2.3 1.5
   3000  0.650000  0.0454 0.00510425    35.57   12.61   37.74    8.46    5.69   -5.45    9.35    3.03   -0.13   -1.35   -8.74   -0.00   -0.00    0.24    0.57   -0.00    0.20    1.90      8.0     23.2    0.0    0.0    0.0   2.32  0.343   1.4611e-02   89.3   45.5   71.4  2.3 1.5
   5000  0.400000  0.1231 0.140667      12.82    3.62   13.32    3.38    1.76   -1.27    1.30    1.08   -0.11   -0.27   -0.67    0.00   -0.00    0.88    0.57   -0.00    0.20    1.79     61.0     54.1    0.1    0.0    0.0   1.52  1.125   1.2284e-01   67.1   66.7   69.7  2.3 1.5
   5000  0.650000  0.0757 0.0130273     25.88    9.07   27.43    6.77    3.48   -4.66    6.05    2.25    0.35   -1.49   -5.40   -0.00   -0.00    0.87    0.57   -0.00    0.20    1.92     15.0     16.3    0.0    0.0    0.0   2.67  0.916   1.3974e-02  101.3   42.7   74.9  2.3 1.5
   8000  0.650000  0.1212 0.016459      26.77    9.28   28.34    8.04    5.47   -4.37    4.62    3.03   -0.35   -0.99   -3.34   -0.00   -0.00    1.00    0.57   -0.00    0.21    1.96     14.0     11.9    0.0    0.0    0.0   3.08  1.173   1.3779e-02  145.4   44.0   86.5  2.3 1.5
  12000  0.650000  0.1818 0.0124674     44.83    6.69   45.33    6.13    4.35   -2.88    2.67    2.19    0.30   -0.58   -1.38    0.00   -0.00    1.00    0.57   -0.00    0.81    1.99      5.0      5.7    0.0    0.0    0.0   1.86  0.876   1.3989e-02  122.8   53.7   85.0  2.3 1.5
}}




Subsets { Q2 }

Cuts { }

TheoryFactors { }

ErrorSet                   "H1"
ErrorUnit                  percent

Errors {{
 ErrorName       Column           Correlation      Nature
  Stat            stat              0               P
  uncor           unc               0               M
  E3              corE+             1               M
  T4             corTh+             1               M
  H3             corHaE+            1               M
  N2             corNoi+            1               M
  B2             corBkg+            1               M
  Lumi_beta_500   2.3               1               M
  L11             1.5               1               M
#   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',3*'ignore', 'E3','T4','H3','N2','ignore', 'B2',3*'ignore', 13*'ignore','LUMI_HERAII_beta_500', 'L11'
#    Q^2         x       y   sigma meas    stat     sys     tot     unc   uncE+ uncHaE+    corr  corE+  corTh+ corHaE+ corNoi+ corHTh+ corBkg+ uncEId+ unTrig+ corChA+ uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat    dmc         theo    acc    pur   stab  lumi L11
# ingore: corHTh+
}}

