    15.3  0.0178     0.0178   0.001335     0.0750    0.02376     8.90     0.00     0.00     0.00    0.90    -0.30    -0.40     0.20    -2.30     1.20     4.00     3.40     0.10    -0.80    -2.10     0.20     4.80   
    15.3  0.0562353  0.0562   0.000478     0.0085    0.01249     4.70     0.00    -3.80     0.00    0.00     3.00    -0.60    -0.20     0.20     2.90     6.20     1.40     0.70    -1.20    -3.80     0.40     4.80   
    15.3  0.0561875  0.0562   0.000899     0.0160    0.01203     4.10     0.00     0.00     0.00    0.40     2.70    -0.40     0.00    -0.80     5.10     5.20     0.80     0.50    -1.30    -1.60     0.20     4.80   
    15.3  0.0562     0.0562   0.001405     0.0250    0.01080     4.90     0.00     0.00     0.00    0.50     1.80    -0.30     0.00     0.80     1.80     6.50     1.40     0.40    -1.00    -0.90     0.20     4.80   
    15.3  0.0562     0.0562   0.001967     0.0350    0.01187     6.30     0.00     0.00     0.00   -1.30     2.10    -0.30     0.00     0.60     1.30     4.80     3.50     0.40    -1.00    -0.80     0.30     4.80   
    15.3  0.0562     0.0562   0.002810     0.0500    0.01360     6.20     0.00     0.00     0.00   -0.30     1.50    -0.30     0.10    -1.60     0.30     5.10     3.50     0.10    -0.70    -0.30     0.30     4.80   
    15.3  0.0562     0.0562   0.004215     0.0750    0.01764    11.60     0.00     0.00     0.00   -1.30     3.30     0.50     0.10    -1.90    -0.60     3.90     4.40     0.00    -0.60    -1.80     0.30     4.80   
    15.3  0.178      0.1780   0.000445     0.0025    0.01317     3.70     0.00    -2.80     0.00   -0.50     2.00    -0.30    -0.70    -0.40    -5.50     5.20     1.00     0.40    -0.90    -3.70     1.20     4.80   
    15.3  0.178      0.1780   0.001513     0.0085    0.01133     3.60     0.00     2.10     0.00   -0.20     1.30     0.50     0.00     0.10     7.20     4.10     0.70     0.20    -0.60    -0.70     0.50     4.80   
    15.3  0.178      0.1780   0.002848     0.0160    0.00929     4.40     0.00     0.00     0.00    0.30     2.50     2.20     0.10     0.00     4.50     5.60     0.20     0.20    -0.90    -1.60     0.30     4.80   
    15.3  0.178      0.1780   0.004450     0.0250    0.00931     6.60     0.00     0.00     0.00   -0.80     3.40     3.00     0.20     0.50     2.00     5.30     1.50     0.00    -0.90    -1.00     0.30     4.80   
    15.3  0.562      0.5620   0.001405     0.0025    0.01956     2.40     0.00     6.00     0.00   -2.10     3.00     0.80    -1.30    -0.20    -2.60     5.30     1.30     0.30    -0.80    -1.70     3.40     4.80   
    15.3  0.562      0.5620   0.004777     0.0085    0.01786     3.40     0.00     4.90     0.00    1.10     0.90     1.30     0.50     0.00     7.70     2.60     0.70    -0.10    -0.50     0.00     2.20     4.80   
    26.5  0.0056     0.0056   0.000420     0.0750    0.03707    16.90     0.00     0.00     0.00   -1.20     2.90    -1.00     0.20    -3.50     0.80     4.10     1.80     0.40    -0.60    -2.10     1.30     4.80   
    26.5  0.0178     0.0178   0.000445     0.0250    0.01766     8.70     0.00     0.00     0.30    0.40     2.50    -1.10    -0.10    -1.00     4.30     4.60     1.20     0.90    -0.90    -1.50     1.10     4.80   
    26.5  0.0178     0.0178   0.000623     0.0350    0.01951     8.80     0.00     0.00     0.00    2.60     1.10    -1.00     0.00     0.10     0.90     5.10     3.10     0.50    -0.90    -0.50     0.30     4.80   
    26.5  0.0178     0.0178   0.000890     0.0500    0.02438     7.40     0.00     0.00     0.00   -0.70     3.20    -0.90     0.10    -0.10     0.60     4.90     3.70     0.20    -0.70    -0.30     0.10     4.80   
    26.5  0.0178     0.0178   0.001335     0.0750    0.02469    11.90     0.00     0.00     0.00   -0.50     2.70    -0.70     0.10    -3.60     0.90     5.30     2.80     0.30    -0.80    -2.00     0.20     4.80   
    26.5  0.0562353  0.0562   0.000478     0.0085    0.01491     7.10     0.00    -6.10     0.00   -0.80     0.80    -1.10     0.00     0.60    -2.20     3.50     0.30     0.30    -0.60    -3.60     1.00     4.80   
