#-*-sh-*-
# 
# H1 HERA-I+HERA-II diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "H1-DDIS-HERAII-FPS-4D"  # A unique alpos name 
#  15.3  0.1780  0.0085  2.1 -0.2  1.3  0.5  0.0  0.1  7.2  4.1  0.7  0.2 -0.6 -0.7  0.5  
#  15.3  0.1780  0.0085  2.1 -0.2  1.3  0.5  0.0  0.1  7.2  4.1  0.7  0.2 -0.6 -0.7  0.5  
#  15.3  0.1780  0.0085  2.1 -0.2  1.3  0.5  0.0  0.1  7.2  4.1  0.7  0.2 -0.6 -0.7  0.5  
#  15.3  0.1780  0.0160  0.0  0.3  2.5  2.2  0.1  0.0  4.5  5.6  0.2  0.2 -0.9 -1.6  0.3  
#  15.3  0.1780  0.0160  0.0  0.3  2.5  2.2  0.1  0.0  4.5  5.6  0.2  0.2 -0.9 -1.6  0.3  
#  15.3  0.1780  0.0160  0.0  0.3  2.5  2.2  0.1  0.0  4.5  5.6  0.2  0.2 -0.9 -1.6  0.3  
#  15.3  0.1780  0.0250  0.0 -0.8  3.4  3.0  0.2  0.5  2.0  5.3  1.5  0.0 -0.9 -1.0  0.3  
#  15.3  0.1780  0.0250  0.0 -0.8  3.4  3.0  0.2  0.5  2.0  5.3  1.5  0.0 -0.9 -1.0  0.3  
#  15.3  0.1780  0.0250  0.0 -0.8  3.4  3.0  0.2  0.5  2.0  5.3  1.5  0.0 -0.9 -1.0  0.3  
#  15.3  0.5620  0.0025  6.0 -2.1  3.0  0.8 -1.3 -0.2 -2.6  5.3  1.3  0.3 -0.8 -1.7  3.4  
#  15.3  0.5620  0.0025  6.0 -2.1  3.0  0.8 -1.3 -0.2 -2.6  5.3  1.3  0.3 -0.8 -1.7  3.4  
#  15.3  0.5620  0.0025  6.0 -2.1  3.0  0.8 -1.3 -0.2 -2.6  5.3  1.3  0.3 -0.8 -1.7  3.4  
#  15.3  0.5620  0.0085  4.9  1.1  0.9  1.3  0.5  0.0  7.7  2.6  0.7 -0.1 -0.5  0.0  2.2  
#  15.3  0.5620  0.0085  4.9  1.1  0.9  1.3  0.5  0.0  7.7  2.6  0.7 -0.1 -0.5  0.0  2.2  
#  15.3  0.5620  0.0085  4.9  1.1  0.9  1.3  0.5  0.0  7.7  2.6  0.7 -0.1 -0.5  0.0  2.2  
#  26.5  0.0056  0.0750  0.0 -1.2  2.9 -1.0  0.2 -3.5  0.8  4.1  1.8  0.4 -0.6 -2.1  1.3  
#  26.5  0.0056  0.0750  0.0 -1.2  2.9 -1.0  0.2 -3.5  0.8  4.1  1.8  0.4 -0.6 -2.1  1.3  
#  26.5  0.0056  0.0750  0.0 -1.2  2.9 -1.0  0.2 -3.5  0.8  4.1  1.8  0.4 -0.6 -2.1  1.3  
#  26.5  0.0178  0.0250  0.3  0.4  2.5 -1.1 -0.1 -1.0  4.3  4.6  1.2  0.9 -0.9 -1.5  1.1  
#  26.5  0.0178  0.0250  0.3  0.4  2.5 -1.1 -0.1 -1.0  4.3  4.6  1.2  0.9 -0.9 -1.5  1.1  
#  26.5  0.0178  0.0250  0.3  0.4  2.5 -1.1 -0.1 -1.0  4.3  4.6  1.2  0.9 -0.9 -1.5  1.1  
#  26.5  0.0178  0.0350  0.0  2.6  1.1 -1.0  0.0  0.1  0.9  5.1  3.1  0.5 -0.9 -0.5  0.3  
#  26.5  0.0178  0.0350  0.0  2.6  1.1 -1.0  0.0  0.1  0.9  5.1  3.1  0.5 -0.9 -0.5  0.3  
#  26.5  0.0178  0.0350  0.0  2.6  1.1 -1.0  0.0  0.1  0.9  5.1  3.1  0.5 -0.9 -0.5  0.3  
#  26.5  0.0178  0.0500  0.0 -0.7  3.2 -0.9  0.1 -0.1  0.6  4.9  3.7  0.2 -0.7 -0.3  0.1  
#  26.5  0.0178  0.0500  0.0 -0.7  3.2 -0.9  0.1 -0.1  0.6  4.9  3.7  0.2 -0.7 -0.3  0.1  
#  26.5  0.0178  0.0500  0.0 -0.7  3.2 -0.9  0.1 -0.1  0.6  4.9  3.7  0.2 -0.7 -0.3  0.1  
#  26.5  0.0178  0.0750  0.0 -0.5  2.7 -0.7  0.1 -3.6  0.9  5.3  2.8  0.3 -0.8 -2.0  0.2  
#  26.5  0.0178  0.0750  0.0 -0.5  2.7 -0.7  0.1 -3.6  0.9  5.3  2.8  0.3 -0.8 -2.0  0.2  
#  26.5  0.0178  0.0750  0.0 -0.5  2.7 -0.7  0.1 -3.6  0.9  5.3  2.8  0.3 -0.8 -2.0  0.2  
#  26.5  0.0562  0.0085 -6.1 -0.8  0.8 -1.1  0.0  0.6 -2.2  3.5  0.3  0.3 -0.6 -3.6  1.0  
#  26.5  0.0562  0.0085 -6.1 -0.8  0.8 -1.1  0.0  0.6 -2.2  3.5  0.3  0.3 -0.6 -3.6  1.0  
#  26.5  0.0562  0.0085 -6.1 -0.8  0.8 -1.1  0.0  0.6 -2.2  3.5  0.3  0.3 -0.6 -3.6  1.0  
#  26.5  0.0562  0.0160  0.2  0.3  2.7 -0.3  0.0  0.7  3.3  6.4  0.3  0.3 -1.0 -1.5  0.2  
#  26.5  0.0562  0.0160  0.2  0.3  2.7 -0.3  0.0  0.7  3.3  6.4  0.3  0.3 -1.0 -1.5  0.2  
#  26.5  0.0562  0.0160  0.2  0.3  2.7 -0.3  0.0  0.7  3.3  6.4  0.3  0.3 -1.0 -1.5  0.2  
#  26.5  0.0562  0.0250  0.2 -0.3  2.8 -0.6  0.0  0.3  1.8  6.1  0.8  0.4 -1.1 -1.2  0.2  
#  26.5  0.0562  0.0250  0.2 -0.3  2.8 -0.6  0.0  0.3  1.8  6.1  0.8  0.4 -1.1 -1.2  0.2  
#  26.5  0.0562  0.0250  0.2 -0.3  2.8 -0.6  0.0  0.3  1.8  6.1  0.8  0.4 -1.1 -1.2  0.2  
#  26.5  0.0562  0.0350  0.4 -0.1  3.1 -0.3  0.0  0.1  0.6  5.4  2.9  0.2 -1.0 -0.2  0.2  
#  26.5  0.0562  0.0350  0.4 -0.1  3.1 -0.3  0.0  0.1  0.6  5.4  2.9  0.2 -1.0 -0.2  0.2  
#  26.5  0.0562  0.0350  0.4 -0.1  3.1 -0.3  0.0  0.1  0.6  5.4  2.9  0.2 -1.0 -0.2  0.2  
#  26.5  0.0562  0.0500  0.0  1.9  0.8 -0.4  0.1 -1.3  1.8  4.9  4.2  0.2 -0.8 -0.5  0.3  
#  26.5  0.0562  0.0500  0.0  1.9  0.8 -0.4  0.1 -1.3  1.8  4.9  4.2  0.2 -0.8 -0.5  0.3  
#  26.5  0.0562  0.0500  0.0  1.9  0.8 -0.4  0.1 -1.3  1.8  4.9  4.2  0.2 -0.8 -0.5  0.3  
#  26.5  0.0562  0.0750  0.0 -1.2 -0.2 -0.6  0.1 -4.6 -0.5  3.0  2.3  0.2 -0.7 -2.2  0.3  
#  26.5  0.0562  0.0750  0.0 -1.2 -0.2 -0.6  0.1 -4.6 -0.5  3.0  2.3  0.2 -0.7 -2.2  0.3  
#  26.5  0.0562  0.0750  0.0 -1.2 -0.2 -0.6  0.1 -4.6 -0.5  3.0  2.3  0.2 -0.7 -2.2  0.3  
#  26.5  0.1780  0.0025 -1.7 -0.5  1.4 -0.4 -0.4 -0.4 -6.6  3.9  0.8  0.2 -0.6 -4.0  1.5  
#  26.5  0.1780  0.0025 -1.7 -0.5  1.4 -0.4 -0.4 -0.4 -6.6  3.9  0.8  0.2 -0.6 -4.0  1.5  
#  26.5  0.1780  0.0025 -1.7 -0.5  1.4 -0.4 -0.4 -0.4 -6.6  3.9  0.8  0.2 -0.6 -4.0  1.5  
#  26.5  0.1780  0.0085  1.2 -0.2  1.5  0.1 -0.1  0.0  6.8  4.1  0.5  0.3 -0.7 -1.3  0.5  
#  26.5  0.1780  0.0085  1.2 -0.2  1.5  0.1 -0.1  0.0  6.8  4.1  0.5  0.3 -0.7 -1.3  0.5  
#  26.5  0.1780  0.0085  1.2 -0.2  1.5  0.1 -0.1  0.0  6.8  4.1  0.5  0.3 -0.7 -1.3  0.5  
#  26.5  0.1780  0.0160  0.0  0.0  1.2  0.5  0.0  0.1  4.4  6.1  1.1  0.3 -1.1 -1.4  0.3  
#  26.5  0.1780  0.0160  0.0  0.0  1.2  0.5  0.0  0.1  4.4  6.1  1.1  0.3 -1.1 -1.4  0.3  
#  26.5  0.1780  0.0160  0.0  0.0  1.2  0.5  0.0  0.1  4.4  6.1  1.1  0.3 -1.1 -1.4  0.3  
#  26.5  0.1780  0.0250  0.0 -0.3  0.9  1.2  0.0  0.9  1.7  6.0  1.8  0.1 -0.7 -1.0  0.2  
#  26.5  0.1780  0.0250  0.0 -0.3  0.9  1.2  0.0  0.9  1.7  6.0  1.8  0.1 -0.7 -1.0  0.2  
#  26.5  0.1780  0.0250  0.0 -0.3  0.9  1.2  0.0  0.9  1.7  6.0  1.8  0.1 -0.7 -1.0  0.2  
#  26.5  0.1780  0.0350  0.0 -3.4  2.7  2.5  0.1  0.5  2.4  4.9  1.3  0.2 -1.1 -0.7  0.2  
#  26.5  0.1780  0.0350  0.0 -3.4  2.7  2.5  0.1  0.5  2.4  4.9  1.3  0.2 -1.1 -0.7  0.2  
#  26.5  0.1780  0.0350  0.0 -3.4  2.7  2.5  0.1  0.5  2.4  4.9  1.3  0.2 -1.1 -0.7  0.2  
#  26.5  0.5620  0.0025  5.1 -2.2  2.2  0.6 -1.1 -0.6 -4.3  5.6  1.4  0.3 -0.8 -2.3  3.0  
#  26.5  0.5620  0.0025  5.1 -2.2  2.2  0.6 -1.1 -0.6 -4.3  5.6  1.4  0.3 -0.8 -2.3  3.0  
#  26.5  0.5620  0.0025  5.1 -2.2  2.2  0.6 -1.1 -0.6 -4.3  5.6  1.4  0.3 -0.8 -2.3  3.0  
#  26.5  0.5620  0.0085  4.9 -0.7  1.4  0.7  0.0 -0.2  6.8  3.0  0.4  0.0 -0.5 -0.3  2.3  
#  26.5  0.5620  0.0085  4.9 -0.7  1.4  0.7  0.0 -0.2  6.8  3.0  0.4  0.0 -0.5 -0.3  2.3  
#  26.5  0.5620  0.0085  4.9 -0.7  1.4  0.7  0.0 -0.2  6.8  3.0  0.4  0.0 -0.5 -0.3  2.3  
#  46.0  0.0178  0.0500 -0.3 -0.1  1.8 -1.2  0.1 -0.6  1.5  5.8  3.3  0.5 -0.7 -0.2  0.6  
#  46.0  0.0178  0.0500 -0.3 -0.1  1.8 -1.2  0.1 -0.6  1.5  5.8  3.3  0.5 -0.7 -0.2  0.6  
#  46.0  0.0178  0.0500 -0.3 -0.1  1.8 -1.2  0.1 -0.6  1.5  5.8  3.3  0.5 -0.7 -0.2  0.6  
#  46.0  0.0178  0.0750  0.3  0.6  2.2 -1.1  0.0 -2.9 -1.5  4.1  3.2  0.4 -0.6 -1.9  0.1  
#  46.0  0.0178  0.0750  0.3  0.6  2.2 -1.1  0.0 -2.9 -1.5  4.1  3.2  0.4 -0.6 -1.9  0.1  
#  46.0  0.0178  0.0750  0.3  0.6  2.2 -1.1  0.0 -2.9 -1.5  4.1  3.2  0.4 -0.6 -1.9  0.1  
#  46.0  0.0562  0.0160  0.1 -0.2  2.0 -1.1  0.0 -0.7  4.1  6.1  1.5  0.5 -0.7 -0.8  0.6  
#  46.0  0.0562  0.0160  0.1 -0.2  2.0 -1.1  0.0 -0.7  4.1  6.1  1.5  0.5 -0.7 -0.8  0.6  
#  46.0  0.0562  0.0160  0.1 -0.2  2.0 -1.1  0.0 -0.7  4.1  6.1  1.5  0.5 -0.7 -0.8  0.6  
#  46.0  0.0562  0.0250  0.1  0.6  1.7 -1.2  0.0 -0.4 -1.2  6.9  1.0  0.2 -0.8 -0.6  0.1  
#  46.0  0.0562  0.0250  0.1  0.6  1.7 -1.2  0.0 -0.4 -1.2  6.9  1.0  0.2 -0.8 -0.6  0.1  
#  46.0  0.0562  0.0250  0.1  0.6  1.7 -1.2  0.0 -0.4 -1.2  6.9  1.0  0.2 -0.8 -0.6  0.1  
#  46.0  0.0562  0.0350  0.3 -0.8  1.5 -0.1  0.1 -1.0  3.4  5.3  2.1  0.2 -0.7 -1.0  0.1  
#  46.0  0.0562  0.0350  0.3 -0.8  1.5 -0.1  0.1 -1.0  3.4  5.3  2.1  0.2 -0.7 -1.0  0.1  
#  46.0  0.0562  0.0350  0.3 -0.8  1.5 -0.1  0.1 -1.0  3.4  5.3  2.1  0.2 -0.7 -1.0  0.1  
#  46.0  0.0562  0.0500  0.0 -1.0  2.0 -0.5  0.1 -1.9 -0.6  5.8  1.9  0.2 -1.1 -0.3  0.2  
#  46.0  0.0562  0.0500  0.0 -1.0  2.0 -0.5  0.1 -1.9 -0.6  5.8  1.9  0.2 -1.1 -0.3  0.2  
#  46.0  0.0562  0.0500  0.0 -1.0  2.0 -0.5  0.1 -1.9 -0.6  5.8  1.9  0.2 -1.1 -0.3  0.2  
#  46.0  0.0562  0.0750  0.0 -1.2  2.1 -0.7  0.1 -3.7  0.1  3.9  2.5  0.2 -0.6 -1.7  0.2  
#  46.0  0.0562  0.0750  0.0 -1.2  2.1 -0.7  0.1 -3.7  0.1  3.9  2.5  0.2 -0.6 -1.7  0.2  
#  46.0  0.0562  0.0750  0.0 -1.2  2.1 -0.7  0.1 -3.7  0.1  3.9  2.5  0.2 -0.6 -1.7  0.2  
#  46.0  0.1780  0.0085  0.2 -1.7  2.7 -0.6  0.0  0.0  6.0  5.3  1.0  0.3 -0.9 -3.0  0.5  
#  46.0  0.1780  0.0085  0.2 -1.7  2.7 -0.6  0.0  0.0  6.0  5.3  1.0  0.3 -0.9 -3.0  0.5  
#  46.0  0.1780  0.0085  0.2 -1.7  2.7 -0.6  0.0  0.0  6.0  5.3  1.0  0.3 -0.9 -3.0  0.5  
#  46.0  0.1780  0.0160  0.4 -0.5  1.1 -0.2  0.0 -0.8  4.3  5.8  0.9  0.2 -0.9 -1.5  0.2  
#  46.0  0.1780  0.0160  0.4 -0.5  1.1 -0.2  0.0 -0.8  4.3  5.8  0.9  0.2 -0.9 -1.5  0.2  
#  46.0  0.1780  0.0160  0.4 -0.5  1.1 -0.2  0.0 -0.8  4.3  5.8  0.9  0.2 -0.9 -1.5  0.2  
#  46.0  0.1780  0.0250  0.0 -0.4  1.5 -0.4  0.0 -0.1  3.8  5.8  1.0  0.1 -1.0 -1.3  0.2  
#  46.0  0.1780  0.0250  0.0 -0.4  1.5 -0.4  0.0 -0.1  3.8  5.8  1.0  0.1 -1.0 -1.3  0.2  
#  46.0  0.1780  0.0250  0.0 -0.4  1.5 -0.4  0.0 -0.1  3.8  5.8  1.0  0.1 -1.0 -1.3  0.2  
#  46.0  0.1780  0.0350  0.0 -0.2  2.6  0.2  0.2  0.0  1.7  5.8  2.6  0.1 -0.9 -0.4  0.2  
#  46.0  0.1780  0.0350  0.0 -0.2  2.6  0.2  0.2  0.0  1.7  5.8  2.6  0.1 -0.9 -0.4  0.2  
#  46.0  0.1780  0.0350  0.0 -0.2  2.6  0.2  0.2  0.0  1.7  5.8  2.6  0.1 -0.9 -0.4  0.2  
#  46.0  0.1780  0.0500  0.0  1.3  5.1  0.9  0.3 -3.2  1.1  3.6  3.1  0.1 -1.2 -0.4  0.3  
#  46.0  0.1780  0.0500  0.0  1.3  5.1  0.9  0.3 -3.2  1.1  3.6  3.1  0.1 -1.2 -0.4  0.3  
#  46.0  0.1780  0.0500  0.0  1.3  5.1  0.9  0.3 -3.2  1.1  3.6  3.1  0.1 -1.2 -0.4  0.3  
#  46.0  0.1780  0.0750  0.0 -2.4  0.2  1.6  0.1 -3.7 -1.2  3.6  2.7 -0.2 -1.0 -2.2  0.3  
#  46.0  0.1780  0.0750  0.0 -2.4  0.2  1.6  0.1 -3.7 -1.2  3.6  2.7 -0.2 -1.0 -2.2  0.3  
#  46.0  0.1780  0.0750  0.0 -2.4  0.2  1.6  0.1 -3.7 -1.2  3.6  2.7 -0.2 -1.0 -2.2  0.3  
#  46.0  0.5620  0.0025  5.0 -2.8  2.2  0.3 -0.9  0.2 -6.1  4.3  1.1  0.2 -0.7 -2.7  3.6  
#  46.0  0.5620  0.0025  5.0 -2.8  2.2  0.3 -0.9  0.2 -6.1  4.3  1.1  0.2 -0.7 -2.7  3.6  
#  46.0  0.5620  0.0025  5.0 -2.8  2.2  0.3 -0.9  0.2 -6.1  4.3  1.1  0.2 -0.7 -2.7  3.6  
#  46.0  0.5620  0.0085  5.6 -1.3  1.7  0.5 -0.1 -0.4  6.0  3.4  0.7  0.1 -0.5 -0.9  2.9  
#  46.0  0.5620  0.0085  5.6 -1.3  1.7  0.5 -0.1 -0.4  6.0  3.4  0.7  0.1 -0.5 -0.9  2.9  
#  46.0  0.5620  0.0085  5.6 -1.3  1.7  0.5 -0.1 -0.4  6.0  3.4  0.7  0.1 -0.5 -0.9  2.9  
#  46.0  0.5620  0.0160  0.0 -2.6  5.5  1.3  0.2  0.7 -1.9  3.9  0.4  0.1 -1.2 -2.1  2.8  
#  46.0  0.5620  0.0160  0.0 -2.6  5.5  1.3  0.2  0.7 -1.9  3.9  0.4  0.1 -1.2 -2.1  2.8  
#  46.0  0.5620  0.0160  0.0 -2.6  5.5  1.3  0.2  0.7 -1.9  3.9  0.4  0.1 -1.2 -2.1  2.8  
#  46.0  0.5620  0.0250  0.0  1.3  3.0  3.0  0.2 -1.3 -0.9  4.0  2.7 -0.9 -1.5 -0.7  2.7  
#  46.0  0.5620  0.0250  0.0  1.3  3.0  3.0  0.2 -1.3 -0.9  4.0  2.7 -0.9 -1.5 -0.7  2.7  
#  46.0  0.5620  0.0250  0.0  1.3  3.0  3.0  0.2 -1.3 -0.9  4.0  2.7 -0.9 -1.5 -0.7  2.7  
#  80.0  0.0562  0.0350  0.3 -2.1  2.8 -2.8 -0.1  0.6  1.8  5.2  2.0  1.7 -0.8 -2.2  0.1  
#  80.0  0.0562  0.0350  0.3 -2.1  2.8 -2.8 -0.1  0.6  1.8  5.2  2.0  1.7 -0.8 -2.2  0.1  
#  80.0  0.0562  0.0350  0.3 -2.1  2.8 -2.8 -0.1  0.6  1.8  5.2  2.0  1.7 -0.8 -2.2  0.1  
#  80.0  0.0562  0.0500  0.0 -1.1  2.7 -1.2  0.0  0.2  0.3  5.0  3.3  0.9 -0.8  0.0  0.1  
#  80.0  0.0562  0.0500  0.0 -1.1  2.7 -1.2  0.0  0.2  0.3  5.0  3.3  0.9 -0.8  0.0  0.1  
#  80.0  0.0562  0.0500  0.0 -1.1  2.7 -1.2  0.0  0.2  0.3  5.0  3.3  0.9 -0.8  0.0  0.1  
#  80.0  0.0562  0.0750  0.0  0.5  1.8 -0.7  0.1 -3.0  0.5  3.0  5.3  0.2 -0.8 -1.8  0.2  
#  80.0  0.0562  0.0750  0.0  0.5  1.8 -0.7  0.1 -3.0  0.5  3.0  5.3  0.2 -0.8 -1.8  0.2  
#  80.0  0.0562  0.0750  0.0  0.5  1.8 -0.7  0.1 -3.0  0.5  3.0  5.3  0.2 -0.8 -1.8  0.2  
#  80.0  0.1780  0.0085 -2.0 -1.5  2.2 -1.6 -0.1 -0.9 -0.8  5.8  1.1  0.4 -0.8 -4.8  1.0  
#  80.0  0.1780  0.0085 -2.0 -1.5  2.2 -1.6 -0.1 -0.9 -0.8  5.8  1.1  0.4 -0.8 -4.8  1.0  
#  80.0  0.1780  0.0085 -2.0 -1.5  2.2 -1.6 -0.1 -0.9 -0.8  5.8  1.1  0.4 -0.8 -4.8  1.0  
#  80.0  0.1780  0.0160  0.0  0.5  2.5 -0.4  0.0  0.2  5.2  5.1  0.9  0.3 -0.8 -1.3  0.2  
#  80.0  0.1780  0.0160  0.0  0.5  2.5 -0.4  0.0  0.2  5.2  5.1  0.9  0.3 -0.8 -1.3  0.2  
#  80.0  0.1780  0.0160  0.0  0.5  2.5 -0.4  0.0  0.2  5.2  5.1  0.9  0.3 -0.8 -1.3  0.2  
#  80.0  0.1780  0.0250  0.0  0.5  1.7 -0.9  0.1  0.2  0.7  6.8  2.3  0.5 -1.5 -1.4  0.2  
#  80.0  0.1780  0.0250  0.0  0.5  1.7 -0.9  0.1  0.2  0.7  6.8  2.3  0.5 -1.5 -1.4  0.2  
#  80.0  0.1780  0.0250  0.0  0.5  1.7 -0.9  0.1  0.2  0.7  6.8  2.3  0.5 -1.5 -1.4  0.2  
#  80.0  0.1780  0.0350  0.0  0.8 -0.3 -3.5  0.1 -0.2  4.1  4.2  0.3  0.2 -0.7 -0.7  0.2  
#  80.0  0.1780  0.0350  0.0  0.8 -0.3 -3.5  0.1 -0.2  4.1  4.2  0.3  0.2 -0.7 -0.7  0.2  
#  80.0  0.1780  0.0350  0.0  0.8 -0.3 -3.5  0.1 -0.2  4.1  4.2  0.3  0.2 -0.7 -0.7  0.2  
#  80.0  0.1780  0.0500  0.0 -1.5  0.9 -0.5 -0.1 -1.4 -0.2  3.9  4.5  0.4 -1.7 -1.2  0.3  
#  80.0  0.1780  0.0500  0.0 -1.5  0.9 -0.5 -0.1 -1.4 -0.2  3.9  4.5  0.4 -1.7 -1.2  0.3  
#  80.0  0.1780  0.0500  0.0 -1.5  0.9 -0.5 -0.1 -1.4 -0.2  3.9  4.5  0.4 -1.7 -1.2  0.3  
#  80.0  0.1780  0.0750  0.0 -1.5  1.3  0.8  0.1 -2.8  0.8  5.4  1.2  0.0 -0.6 -1.8  0.3  
#  80.0  0.1780  0.0750  0.0 -1.5  1.3  0.8  0.1 -2.8  0.8  5.4  1.2  0.0 -0.6 -1.8  0.3  
#  80.0  0.1780  0.0750  0.0 -1.5  1.3  0.8  0.1 -2.8  0.8  5.4  1.2  0.0 -0.6 -1.8  0.3  
#  80.0  0.5620  0.0085  4.7 -1.4  1.1  0.3 -0.2  0.3  5.0  6.1  1.1  0.3 -1.0 -3.1  2.9  
#  80.0  0.5620  0.0085  4.7 -1.4  1.1  0.3 -0.2  0.3  5.0  6.1  1.1  0.3 -1.0 -3.1  2.9  
#  80.0  0.5620  0.0085  4.7 -1.4  1.1  0.3 -0.2  0.3  5.0  6.1  1.1  0.3 -1.0 -3.1  2.9  
#  80.0  0.5620  0.0160  0.0 -5.2  0.3  0.5  0.2 -0.7 -2.9  4.8  0.0  0.2 -0.4 -4.5  2.8  
#  80.0  0.5620  0.0160  0.0 -5.2  0.3  0.5  0.2 -0.7 -2.9  4.8  0.0  0.2 -0.4 -4.5  2.8  
#  80.0  0.5620  0.0160  0.0 -5.2  0.3  0.5  0.2 -0.7 -2.9  4.8  0.0  0.2 -0.4 -4.5  2.8  
#  80.0  0.5620  0.0250  0.0 -5.5  2.8  1.2  0.2 -2.1 -0.8  2.3  2.5  0.4 -1.2 -1.5  2.7  
#  80.0  0.5620  0.0250  0.0 -5.5  2.8  1.2  0.2 -2.1 -0.8  2.3  2.5  0.4 -1.2 -1.5  2.7  
#  80.0  0.5620  0.0350  0.0 -4.7  0.6  1.8  0.1  0.4 -3.1  7.5  0.9  0.0 -0.9 -0.2  2.5  
#  80.0  0.5620  0.0350  0.0 -4.7  0.6  1.8  0.1  0.4 -3.1  7.5  0.9  0.0 -0.9 -0.2  2.5  
#
#  80.0  0.5620  0.0250  0.0 -5.5  2.8  1.2  0.2 -2.1 -0.8  2.3  2.5  0.4 -1.2 -1.5  2.7  
#  80.0  0.5620  0.0350  0.0 -4.7  0.6  1.8  0.1  0.4 -3.1  7.5  0.9  0.0 -0.9 -0.2  2.5  


Data {{
   Q2   beta    xp       tAbs      mx   mxBin     Sigma  dstat   statMC   dsys   dtot   HadEn ElecEn  ElecTh  DifBeta  DifXpom  DifT  EpFPS  PxFPS  PyFPS  DifQ2  VtxEff  Backgr  Bcccor HadEn3D HadEn13D  ElecEn3D  ElecTh3D DifBeta3D DifXpom3D DifT3D EpFPS3D  PxFPS3D  PyFPS3D  DifQ23D  VtxEff3D  Backgr3D Bcccor3D
#  5.1  0.0018  0.0500   0.2  53.1811      7     0.0689    7.6  5.37401    8.7   11.5  -0.2  4.2  0.7 -0.9  0.0 -2.8  1.1  5.0  2.9  1.5 -2.4 -1.1  1.0    -0.1    0.0     2.7    1.8   -1.2    0.0   -3.9    0.8    5.2    0.0    1.6   -3.5   -1.5    1.9
#  5.1  0.0018  0.0500   0.4  53.1811      7     0.0204   10.2  7.21249    8.7   13.4  -0.2  4.2  0.7 -0.9  0.0 -2.8  1.1  5.0  2.9  1.5 -2.4 -1.1  1.0    -0.6    0.0     1.3    0.8   -1.0    0.0    0.8    0.2    6.6    4.4    1.0   -1.7   -0.8    1.9
#  5.1  0.0018  0.0500   0.6  53.1811      7     0.0080   15.1  10.6773    8.7   17.4  -0.2  4.2  0.7 -0.9  0.0 -2.8  1.1  5.0  2.9  1.5 -2.4 -1.1  1.0     0.0    0.0     4.2   -4.2   -0.4   -0.1    0.3    2.5   -0.4   -3.6    3.3   -2.1   -0.9    1.9
#  5.1  0.0018  0.0750   0.2  53.1811      7     0.0786   11.3  7.99031    7.3   13.5  -0.1  1.1  2.7 -0.4  0.1 -3.1  0.8  4.7  2.1  1.0 -0.9 -1.7  0.3    -0.2    0.0     0.7    2.1   -0.3    0.1   -1.8    0.5    6.2    0.8    1.1   -0.9   -1.6    1.6
#  5.1  0.0018  0.0750   0.4  53.1811      7     0.0297   11.4  8.06102    7.3   13.6  -0.1  1.1  2.7 -0.4  0.1 -3.1  0.8  4.7  2.1  1.0 -0.9 -1.7  0.3    -0.1    0.0     0.6    4.2   -0.7    0.2    1.4    1.2    1.7    0.8    2.0   -2.4   -3.9    1.6
#  5.1  0.0018  0.0750   0.6  53.1811      7     0.0078   17.7  12.5158    7.3   19.2  -0.1  1.1  2.7 -0.4  0.1 -3.1  0.8  4.7  2.1  1.0 -0.9 -1.7  0.3     0.0    0.0     0.8    4.4   -0.9    0.1    0.2    1.5    4.1    1.2    1.5   -1.2   -2.6    1.6
#  5.1  0.0056  0.0160   0.2  30.0934      6     0.0433    4.9  3.46482    9.5   10.7  -0.5  2.8  3.1 -0.9 -0.1  1.1  3.0  6.4  1.3  1.9 -3.0 -1.6  1.2    -0.3    0.0     1.7    3.2   -1.1   -0.1   -2.5    2.0    6.3    0.8    2.2   -3.6   -1.9    2.0
#  5.1  0.0056  0.0160   0.4  30.0934      6     0.0152    6.1  4.31335    9.5   11.3  -0.5  2.8  3.1 -0.9 -0.1  1.1  3.0  6.4  1.3  1.9 -3.0 -1.6  1.2    -0.9    0.0     0.0    4.2   -0.6   -0.1    1.7    2.4    6.3   -1.6    2.2   -3.1   -1.6    2.0
#  5.1  0.0056  0.0160   0.6  30.0934      6     0.0050   13.1  9.2631     9.5   16.2  -0.5  2.8  3.1 -0.9 -0.1  1.1  3.0  6.4  1.3  1.9 -3.0 -1.6  1.2     0.0    0.0     4.8   -5.8   -0.9    0.0    0.1    3.4    2.8    2.9    0.0   -1.0   -0.5    2.0
#  5.1  0.0056  0.0250   0.2  30.0934      6     0.0376    4.7  3.3234     8.4    9.6   0.0  2.2  3.5 -0.4  0.0  0.2  1.5  6.3  1.5  1.7 -1.5 -0.7  0.5     0.0    0.0     2.0    2.9   -0.5   -0.1   -2.5    1.5    6.2   -0.3    2.0   -1.9   -0.7    1.7
#  5.1  0.0056  0.0250   0.4  30.0934      6     0.0129    6.3  4.45477    8.4   10.5   0.0  2.2  3.5 -0.4  0.0  0.2  1.5  6.3  1.5  1.7 -1.5 -0.7  0.5     0.0    0.0    -0.8    3.9   -0.2    0.0    1.0    0.6    6.4    2.4    1.3   -1.1   -0.5    1.7
