#-*-sh-*-
# 
# LHeC simulated pseudo-data
# Authors: W. Slominski
# 

# from Wojtek's notes:
# --------------------
# 2018-05-18 17:21:36
# M:\PHYSICS\LHeC\ws\util\merge_data.tcl { } -esys 5
# rundir = M:/PHYSICS/LHeC/ws/simdata/7T60/ZEUS-SJ/4-4-4/014/TRS/sim
#
# Records = 1631
# QQ[20] = 1.8 3.2 5.6 10 18 32 56 100 180 320 560 1000 1800 3200 5600 10000 18000 32000 56000 100000
# Counts(QQ) = 186 174 162 150 138 126 114 102 91 80 69 58 48 39 31 24 18 13 5 3
# beta[21] = 5.7e-006 1e-005 1.8e-005 3.2e-005 5.7e-005 0.0001 0.00018 0.00032 0.00057 0.001 0.0018 0.0032 0.0057 0.01 0.018 0.032 0.057 0.1 0.2 0.5 0.8
# Counts(beta) = 1 3 6 10 15 21 28 36 45 55 66 78 90 102 114 126 138 150 174 185 188
# xi[22] = 1.8e-006 3.2e-006 5.6e-006 1e-005 1.8e-005 3.2e-005 5.6e-005 0.0001 0.00018 0.00032 0.00056 0.001 0.0018 0.0032 0.0056 0.01 0.018 0.032 0.056 0.1 0.18 0.32
# Counts(xi) = 1 3 6 9 13 18 24 31 39 48 58 69 80 91 102 114 126 138 149 160 171 181
#--> Parameters
#$Version 6.0
#$Name sim-p7e60
#$Value_Name xisr
#$Vars_Names xi,Q2,beta
#$Error_Name estat
#$TotSys_Name sysTot
#$NormError 0.03
#$AsymmErrors 0
#$RelativeErrors 0.01
#$Nuncorr 1
#$Ncorr 0
#$ECM 1296.15
#$Columns xi,QQ,beta,srTot,estat,sysTot
#--- end-of-params


##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "LHeC-DDIS-a"  # A unique alpos name 
Description                    	"LHeC DDIS 60x7000"
Reference                       "" 
#arXiv                           1010.1476
#Inspire                         872187
#Title                           ""



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   ApfelDDISCS #QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           1296.1481      # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0. # polarisation?
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#         Diffractive Reduced Cross Section

#    Q2    beta      xp       mx  mxBin   Sigma  Excl  stat statMC stat1p22  sys    tot  HadEn ElecEn  ElecTh DifBeta DifXpom DifT EpFPS  PxFPS  PyFPS  DifQ2  VtxEff  Backgr Bcccor

Data {{
  xp         Q2      beta     Sigma       estat      sysTot
5.6e-005    1.8  0.1    0.0181412  0.109513   5     
5.6e-005    3.2  0.1    0.0278372  0.123938   5     
5.6e-005    5.6  0.1    0.0362689  0.161557   5     
5.6e-005    1.8  0.2    0.0279246  0.0642739  5     
5.6e-005    3.2  0.2    0.0389851  0.0768472  5     
5.6e-005    5.6  0.2    0.0484392  0.0973549  5     
5.6e-005    10   0.2    0.0517859  0.13423    5     
5.6e-005    18   0.2    0.0550516  0.199453   5     
5.6e-005    1.8  0.5    0.0569579  0.0559962  5     
5.6e-005    3.2  0.5    0.0712871  0.0714541  5     
5.6e-005    5.6  0.5    0.0679413  0.0937886  5     
5.6e-005    10   0.5    0.0753573  0.128207   5     
5.6e-005    18   0.5    0.074017   0.182529   5     
5.6e-005    32   0.5    0.0732664  0.271584   5     
5.6e-005    1.8  0.8    0.0904605  0.0492039  5     
5.6e-005    3.2  0.8    0.0990403  0.0675515  5     
5.6e-005    5.6  0.8    0.0932003  0.0937005  5     
5.6e-005    10   0.8    0.0807124  0.133834   5     
5.6e-005    18   0.8    0.0745285  0.196833   5     
5.6e-005    32   0.8    0.0705884  0.297228   5     
5.6e-005    56   0.8    0.0648482  0.457239   5     


#$xi 0.0001;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.0001    1.8  0.018  0.00711031  0.209266   5     
0.0001    1.8  0.032  0.010062    0.156954   5     
0.0001    3.2  0.032  0.0216775   0.156812   5     
0.0001    1.8  0.057  0.0112759   0.131107   5     
0.0001    3.2  0.057  0.0248383   0.134664   5     
0.0001    5.6  0.057  0.033228    0.167906   5     
0.0001    1.8  0.1    0.016402    0.111234   5     
0.0001    3.2  0.1    0.0278332   0.121001   5     
0.0001    5.6  0.1    0.0352998   0.147024   5     
0.0001    10   0.1    0.0417586   0.198239   5     
0.0001    1.8  0.2    0.024143    0.0669547  5     
0.0001    3.2  0.2    0.0343648   0.0786578  5     
0.0001    5.6  0.2    0.0395715   0.0966286  5     
0.0001    10   0.2    0.0485244   0.126164   5     
0.0001    18   0.2    0.0499188   0.177496   5     
0.0001    32   0.2    0.0556265   0.262611   5     
0.0001    1.8  0.5    0.0520322   0.059155   5     
0.0001    3.2  0.5    0.0598796   0.0749885  5     
0.0001    5.6  0.5    0.0613497   0.0973123  5     
0.0001    10   0.5    0.0679697   0.130288   5     
0.0001    18   0.5    0.0637147   0.178977   5     
0.0001    32   0.5    0.0723458   0.254735   5     
0.0001    56   0.5    0.0719617   0.376676   5     
0.0001    1.8  0.8    0.0840981   0.0521623  5     
0.0001    3.2  0.8    0.0866949   0.0713207  5     
0.0001    5.6  0.8    0.0800282   0.0982373  5     
0.0001    10   0.8    0.0768371   0.13853    5     
0.0001    18   0.8    0.0721885   0.199171   5     
0.0001    32   0.8    0.0672114   0.290271   5     
0.0001    56   0.8    0.0585184   0.432727   5     
0.0001    100  0.8    0.0555331   0.67491    5     


#$xi 0.00018;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.00018    1.8  0.01   0.00597219  0.230463   5     
0.00018    1.8  0.018  0.00760462  0.175464   5     
0.00018    3.2  0.018  0.0225307   0.156684   5     
0.00018    1.8  0.032  0.00930733  0.151724   5     
0.00018    3.2  0.032  0.0226151   0.139729   5     
0.00018    5.6  0.032  0.0361337   0.166969   5     
0.00018    1.8  0.057  0.0116163   0.13313    5     
0.00018    3.2  0.057  0.0214402   0.131549   5     
0.00018    5.6  0.057  0.034213    0.152855   5     
0.00018    10   0.057  0.0452386   0.199561   5     
0.00018    1.8  0.1    0.0154436   0.115478   5     
0.00018    3.2  0.1    0.0241074   0.123134   5     
0.00018    5.6  0.1    0.0336202   0.144317   5     
0.00018    10   0.1    0.0405415   0.182363   5     
0.00018    18   0.1    0.0502638   0.252344   5     
0.00018    1.8  0.2    0.0233976   0.0704584  5     
0.00018    3.2  0.2    0.0272737   0.082003   5     
0.00018    5.6  0.2    0.0356398   0.0990794  5     
0.00018    10   0.2    0.0448278   0.125438   5     
0.00018    18   0.2    0.0453528   0.167403   5     
0.00018    32   0.2    0.0513985   0.23682    5     
0.00018    56   0.2    0.0518306   0.348738   5     
0.00018    1.8  0.5    0.0440951   0.0627633  5     
0.00018    3.2  0.5    0.0507989   0.0792739  5     
0.00018    5.6  0.5    0.0503213   0.102221   5     
0.00018    10   0.5    0.0535428   0.135264   5     
0.00018    18   0.5    0.0576199   0.181925   5     
0.00018    32   0.5    0.0595845   0.250047   5     
0.00018    56   0.5    0.0626178   0.354313   5     
0.00018    100  0.5    0.0657811   0.533787   5     
0.00018    1.8  0.8    0.0753629   0.0554692  5     
0.00018    3.2  0.8    0.0721377   0.0756683  5     
0.00018    5.6  0.8    0.0731579   0.103814   5     
0.00018    10   0.8    0.0617002   0.145334   5     
0.00018    18   0.8    0.0646354   0.206226   5     
0.00018    32   0.8    0.0594013   0.293893   5     
0.00018    56   0.8    0.054877    0.423263   5     
0.00018    100  0.8    0.0459405   0.638726   5     
0.00018    180  0.8    0.0408713   1.00067    5     


#$xi 0.00032;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.00032    1.8  0.0057  0.00530129  0.243079   5     
0.00032    1.8  0.01    0.00650803  0.190997   5     
0.00032    3.2  0.01    0.0217827   0.155505   5     
0.00032    1.8  0.018   0.00775294  0.169146   5     
0.00032    3.2  0.018   0.0233531   0.140479   5     
0.00032    5.6  0.018   0.0363742   0.163238   5     
0.00032    1.8  0.032   0.00871424  0.153658   5     
0.00032    3.2  0.032   0.0190897   0.136534   5     
0.00032    5.6  0.032   0.0334552   0.152527   5     
0.00032    10   0.032   0.0450849   0.195175   5     
0.00032    1.8  0.057   0.0107567   0.137895   5     
0.00032    3.2  0.057   0.0194994   0.133804   5     
0.00032    5.6  0.057   0.0311961   0.15021    5     
0.00032    10   0.057   0.0389443   0.184106   5     
0.00032    18   0.057   0.0518832   0.249363   5     
0.00032    1.8  0.1     0.0127383   0.120988   5     
0.00032    3.2  0.1     0.0204208   0.12777    5     
0.00032    5.6  0.1     0.0274623   0.147039   5     
0.00032    10   0.1     0.0383992   0.179496   5     
0.00032    18   0.1     0.0466811   0.233988   5     
0.00032    32   0.1     0.0504782   0.328143   5     
0.00032    1.8  0.2     0.0194445   0.0743893  5     
0.00032    3.2  0.2     0.0241345   0.0861777  5     
0.00032    5.6  0.2     0.0318024   0.103228   5     
0.00032    10   0.2     0.0369294   0.128572   5     
0.00032    18   0.2     0.0462556   0.166525   5     
0.00032    32   0.2     0.0467074   0.224398   5     
0.00032    56   0.2     0.0534864   0.317803   5     
0.00032    100  0.2     0.0536942   0.476222   5     
0.00032    1.8  0.5     0.039093    0.0666165  5     
0.00032    3.2  0.5     0.0417672   0.0839843  5     
0.00032    5.6  0.5     0.0478867   0.107928   5     
0.00032    10   0.5     0.049564    0.141913   5     
0.00032    18   0.5     0.0487861   0.188669   5     
0.00032    32   0.5     0.0553737   0.254153   5     
0.00032    56   0.5     0.0612112   0.348604   5     
0.00032    100  0.5     0.057653    0.503451   5     
0.00032    180  0.5     0.0536344   0.764284   5     
0.00032    1.8  0.8     0.0659998   0.0589763  5     
0.00032    3.2  0.8     0.0657363   0.0803538  5     
0.00032    5.6  0.8     0.0622661   0.110005   5     
0.00032    10   0.8     0.0590295   0.153392   5     
0.00032    18   0.8     0.049351    0.216096   5     
0.00032    32   0.8     0.0490968   0.304114   5     
0.00032    56   0.8     0.0456024   0.428879   5     
0.00032    100  0.8     0.0419887   0.625169   5     
0.00032    180  0.8     0.0372224   0.948262   5     
0.00032    320  0.8     0.0364508   1.46982    5     


#$xi 0.00056;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.00056    1.8  0.0032  0.00492781  0.255091   5     
0.00056    1.8  0.0057  0.00668687  0.201371   5     
0.00056    3.2  0.0057  0.0251563   0.152921   5     
0.00056    1.8  0.01    0.00660343  0.182882   5     
0.00056    3.2  0.01    0.0220965   0.139588   5     
0.00056    5.6  0.01    0.0359838   0.159417   5     
0.00056    1.8  0.018   0.00688064  0.170516   5     
0.00056    3.2  0.018   0.0199826   0.137181   5     
0.00056    5.6  0.018   0.0340351   0.149491   5     
0.00056    10   0.018   0.0464633   0.188861   5     
0.00056    1.8  0.032   0.00715834  0.158431   5     
0.00056    3.2  0.032   0.0178031   0.138573   5     
0.00056    5.6  0.032   0.027863    0.149747   5     
0.00056    10   0.032   0.0412869   0.180187   5     
0.00056    18   0.032   0.0533172   0.241514   5     
0.00056    1.8  0.057   0.00962898  0.143858   5     
0.00056    3.2  0.057   0.0187334   0.138507   5     
0.00056    5.6  0.057   0.0272602   0.152829   5     
0.00056    10   0.057   0.0339119   0.181178   5     
0.00056    18   0.057   0.048146    0.231416   5     
0.00056    32   0.057   0.0559518   0.320707   5     
0.00056    1.8  0.1     0.0112736   0.127056   5     
0.00056    3.2  0.1     0.0190433   0.133643   5     
0.00056    5.6  0.1     0.023778    0.152388   5     
0.00056    10   0.1     0.0327144   0.182699   5     
0.00056    18   0.1     0.0400704   0.230297   5     
0.00056    32   0.1     0.0466651   0.305839   5     
0.00056    56   0.1     0.0534633   0.432562   5     
0.00056    1.8  0.2     0.0168065   0.0785163  5     
0.00056    3.2  0.2     0.0242499   0.090785   5     
0.00056    5.6  0.2     0.0275788   0.108277   5     
0.00056    10   0.2     0.0344021   0.133704   5     
0.00056    18   0.2     0.041374    0.170395   5     
0.00056    32   0.2     0.0481381   0.223181   5     
0.00056    56   0.2     0.0478156   0.302256   5     
0.00056    100  0.2     0.0502195   0.437735   5     
0.00056    180  0.2     0.0492308   0.659734   5     
0.00056    1.8  0.5     0.0341536   0.0706162  5     
0.00056    3.2  0.5     0.0399108   0.0889531  5     
0.00056    5.6  0.5     0.0419128   0.114114   5     
0.00056    10   0.5     0.0418612   0.149538   5     
0.00056    18   0.5     0.0460606   0.197557   5     
0.00056    32   0.5     0.0465743   0.263182   5     
0.00056    56   0.5     0.0490316   0.354224   5     
0.00056    100  0.5     0.0472148   0.495159   5     
0.00056    180  0.5     0.0506424   0.721815   5     
