#-*-sh-*-
# 
# LHeC simulated pseudo-data
# Authors: W. Slominski
# 

# from Wojtek's notes:
# --------------------
# 2018-05-18 17:21:36
# M:\PHYSICS\LHeC\ws\util\merge_data.tcl { } -esys 5
# rundir = M:/PHYSICS/LHeC/ws/simdata/7T60/ZEUS-SJ/4-4-4/014/TRS/sim
#
# Records = 1631
# QQ[20] = 1.8 3.2 5.6 10 18 32 56 100 180 320 560 1000 1800 3200 5600 10000 18000 32000 56000 100000
# Counts(QQ) = 186 174 162 150 138 126 114 102 91 80 69 58 48 39 31 24 18 13 5 3
# beta[21] = 5.7e-006 1e-005 1.8e-005 3.2e-005 5.7e-005 0.0001 0.00018 0.00032 0.00057 0.001 0.0018 0.0032 0.0057 0.01 0.018 0.032 0.057 0.1 0.2 0.5 0.8
# Counts(beta) = 1 3 6 10 15 21 28 36 45 55 66 78 90 102 114 126 138 150 174 185 188
# xi[22] = 1.8e-006 3.2e-006 5.6e-006 1e-005 1.8e-005 3.2e-005 5.6e-005 0.0001 0.00018 0.00032 0.00056 0.001 0.0018 0.0032 0.0056 0.01 0.018 0.032 0.056 0.1 0.18 0.32
# Counts(xi) = 1 3 6 9 13 18 24 31 39 48 58 69 80 91 102 114 126 138 149 160 171 181
#--> Parameters
#$Version 6.0
#$Name sim-p7e60
#$Value_Name xisr
#$Vars_Names xi,Q2,beta
#$Error_Name estat
#$TotSys_Name sysTot
#$NormError 0.03
#$AsymmErrors 0
#$RelativeErrors 0.01
#$Nuncorr 1
#$Ncorr 0
#$ECM 1296.15
#$Columns xi,QQ,beta,srTot,estat,sysTot
#--- end-of-params


##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "LHeC-DDIS-a"  # A unique alpos name 
Description                    	"LHeC DDIS 60x7000"
Reference                       "" 
#arXiv                           1010.1476
#Inspire                         872187
#Title                           ""



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   ApfelDDISCS #QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           1296.1481      # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0. # polarisation?
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#         Diffractive Reduced Cross Section

#    Q2    beta      xp       mx  mxBin   Sigma  Excl  stat statMC stat1p22  sys    tot  HadEn ElecEn  ElecTh DifBeta DifXpom DifT EpFPS  PxFPS  PyFPS  DifQ2  VtxEff  Backgr Bcccor

Data {{
  xp         Q2      beta     Sigma       estat      sysTot
0.001    32    0.8     0.0380309   0.335715   5     
0.001    56    0.8     0.03702     0.464609   5     
0.001    100   0.8     0.0331435   0.654663   5     
0.001    180   0.8     0.0322908   0.938007   5     
0.001    320   0.8     0.029371    1.36213    5     
0.001    560   0.8     0.0249934   2.02191    5     
0.001    1000  0.8     0.0242639   3.13581    5     


#$xi 0.0018;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.0018    1.8   0.001   0.00504175  0.253429   5     
0.0018    1.8   0.0018  0.00584766  0.208123   5     
0.0018    3.2   0.0018  0.0278053   0.145632   5     
0.0018    1.8   0.0032  0.0062552   0.19496    5     
0.0018    3.2   0.0032  0.0236587   0.134183   5     
0.0018    5.6   0.0032  0.0395547   0.148461   5     
0.0018    1.8   0.0057  0.00537516  0.18965    5     
0.0018    3.2   0.0057  0.019947    0.13327    5     
0.0018    5.6   0.0057  0.0387532   0.14034    5     
0.0018    10    0.0057  0.057879    0.173457   5     
0.0018    1.8   0.01    0.00497398  0.185844   5     
0.0018    3.2   0.01    0.0181175   0.13709    5     
0.0018    5.6   0.01    0.0314822   0.141826   5     
0.0018    10    0.01    0.0511325   0.166571   5     
0.0018    18    0.01    0.0634252   0.219491   5     
0.0018    1.8   0.018   0.00633063  0.18       5     
0.0018    3.2   0.018   0.016289    0.143255   5     
0.0018    5.6   0.018   0.028053    0.148486   5     
0.0018    10    0.018   0.0402007   0.170262   5     
0.0018    18    0.018   0.0528587   0.212703   5     
0.0018    32    0.018   0.0635437   0.289798   5     
0.0018    1.8   0.032   0.00674155  0.170662   5     
0.0018    3.2   0.032   0.0137102   0.149184   5     
0.0018    5.6   0.032   0.0243344   0.157263   5     
0.0018    10    0.032   0.0353184   0.179616   5     
0.0018    18    0.032   0.0467249   0.218819   5     
0.0018    32    0.032   0.0551213   0.283678   5     
0.0018    56    0.032   0.0625158   0.394125   5     
0.0018    1.8   0.057   0.00734857  0.156951   5     
0.0018    3.2   0.057   0.0132854   0.151555   5     
0.0018    5.6   0.057   0.0230025   0.165283   5     
0.0018    10    0.057   0.0309067   0.190712   5     
0.0018    18    0.057   0.0369696   0.231041   5     
0.0018    32    0.057   0.044879    0.292435   5     
0.0018    56    0.057   0.0506257   0.387967   5     
0.0018    100   0.057   0.0562679   0.55633    5     
0.0018    1.8   0.1     0.00991127  0.139889   5     
0.0018    3.2   0.1     0.0153041   0.147608   5     
0.0018    5.6   0.1     0.0211734   0.167435   5     
0.0018    10    0.1     0.0256181   0.19793    5     
0.0018    18    0.1     0.0322822   0.242425   5     
0.0018    32    0.1     0.0405686   0.305544   5     
0.0018    56    0.1     0.0430125   0.396909   5     
0.0018    100   0.1     0.0475277   0.544855   5     
0.0018    180   0.1     0.0472952   0.798487   5     
0.0018    1.8   0.2     0.0123709   0.0872953  5     
0.0018    3.2   0.2     0.0168023   0.101117   5     
0.0018    5.6   0.2     0.021057    0.120379   5     
0.0018    10    0.2     0.0270273   0.147714   5     
0.0018    18    0.2     0.0285769   0.185709   5     
0.0018    32    0.2     0.033809    0.237165   5     
0.0018    56    0.2     0.0369254   0.307366   5     
0.0018    100   0.2     0.0393014   0.412664   5     
0.0018    180   0.2     0.041604    0.576759   5     
0.0018    320   0.2     0.0442833   0.841059   5     
0.0018    560   0.2     0.0403296   1.24637    5     
0.0018    1.8   0.5     0.0264798   0.0794786  5     
0.0018    3.2   0.5     0.0334724   0.100155   5     
0.0018    5.6   0.5     0.0330911   0.128365   5     
0.0018    10    0.5     0.0361538   0.167776   5     
0.0018    18    0.5     0.0372265   0.220477   5     
0.0018    32    0.5     0.0380348   0.290827   5     
0.0018    56    0.5     0.0388981   0.384709   5     
0.0018    100   0.5     0.0391843   0.520956   5     
0.0018    180   0.5     0.0370714   0.718684   5     
0.0018    320   0.5     0.0385168   1.00646    5     
0.0018    560   0.5     0.0359324   1.44344    5     
0.0018    1000  0.5     0.0355393   2.18379    5     
0.0018    3.2   0.8     0.0453463   0.096572   5     
0.0018    5.6   0.8     0.0433754   0.131934   5     
0.0018    10    0.8     0.0425184   0.183225   5     
0.0018    18    0.8     0.0388716   0.256184   5     
0.0018    32    0.8     0.0350831   0.355771   5     
0.0018    56    0.8     0.030621    0.490433   5     
0.0018    100   0.8     0.0265237   0.686071   5     
0.0018    180   0.8     0.0286783   0.970232   5     
0.0018    320   0.8     0.0231705   1.37786    5     
0.0018    560   0.8     0.0219751   1.97646    5     
0.0018    1000  0.8     0.022921    2.96876    5     
0.0018    1800  0.8     0.0171776   4.62546    5     


#$xi 0.0032;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.0032    1.8   0.00057  0.00534338  0.240189   5     
0.0032    1.8   0.001    0.005747    0.203828   5     
0.0032    3.2   0.001    0.0258682   0.141951   5     
0.0032    1.8   0.0018   0.0056957   0.192866   5     
0.0032    3.2   0.0018   0.0263352   0.130754   5     
0.0032    5.6   0.0018   0.0468758   0.14341    5     
0.0032    1.8   0.0032   0.00508044  0.190082   5     
0.0032    3.2   0.0032   0.0236916   0.129834   5     
0.0032    5.6   0.0032   0.0441602   0.135531   5     
0.0032    10    0.0032   0.0661797   0.166429   5     
0.0032    1.8   0.0057   0.00537123  0.189427   5     
0.0032    3.2   0.0057   0.0208247   0.133888   5     
0.0032    5.6   0.0057   0.0345538   0.13683    5     
0.0032    10    0.0057   0.0519119   0.159502   5     
0.0032    18    0.0057   0.0696462   0.208707   5     
0.0032    1.8   0.01     0.00514711  0.188005   5     
0.0032    3.2   0.01     0.0186566   0.140348   5     
0.0032    5.6   0.01     0.0295079   0.143109   5     
0.0032    10    0.01     0.0460862   0.162708   5     
0.0032    18    0.01     0.0617066   0.202166   5     
0.0032    32    0.01     0.0741766   0.274385   5     
0.0032    1.8   0.018    0.00537092  0.183575   5     
0.0032    3.2   0.018    0.0152342   0.14814    5     
0.0032    5.6   0.018    0.0248554   0.152688   5     
0.0032    10    0.018    0.0387691   0.172244   5     
0.0032    18    0.018    0.0463578   0.208211   5     
0.0032    32    0.018    0.0602398   0.268263   5     
0.0032    56    0.018    0.0736697   0.3708     5     
0.0032    1.8   0.032    0.00658233  0.175034   5     
0.0032    3.2   0.032    0.0128582   0.154999   5     
0.0032    5.6   0.032    0.0206404   0.163247   5     
0.0032    10    0.032    0.0339557   0.185027   5     
0.0032    18    0.032    0.0388561   0.221541   5     
0.0032    32    0.032    0.0525149   0.27805    5     
0.0032    56    0.032    0.0564635   0.36647    5     
0.0032    100   0.032    0.0564696   0.522802   5     
0.0032    1.8   0.057    0.00736952  0.161769   5     
0.0032    3.2   0.057    0.0121195   0.157842   5     
0.0032    5.6   0.057    0.0188941   0.172381   5     
0.0032    10    0.057    0.0272043   0.198327   5     
0.0032    18    0.057    0.0353629   0.2382     5     
0.0032    32    0.057    0.0422421   0.296304   5     
0.0032    56    0.057    0.043844    0.381112   5     
0.0032    100   0.057    0.0505362   0.518571   5     
0.0032    180   0.057    0.049723    0.754893   5     
0.0032    1.8   0.1      0.00821356  0.144899   5     
0.0032    3.2   0.1      0.0137493   0.154038   5     
0.0032    5.6   0.1      0.0175466   0.175101   5     
0.0032    10    0.1      0.0228818   0.206867   5     
0.0032    18    0.1      0.0300707   0.252333   5     
0.0032    32    0.1      0.0357801   0.315114   5     
0.0032    56    0.1      0.0369368   0.402386   5     
0.0032    100   0.1      0.0419791   0.535033   5     
0.0032    180   0.1      0.0473188   0.744925   5     
0.0032    320   0.1      0.0469923   1.08932    5     
0.0032    1.8   0.2      0.0131281   0.0910688  5     
0.0032    3.2   0.2      0.016579    0.105911   5     
0.0032    5.6   0.2      0.0209819   0.126319   5     
0.0032    10    0.2      0.0233016   0.155056   5     
0.0032    18    0.2      0.0283705   0.194642   5     
0.0032    32    0.2      0.0310013   0.247541   5     
0.0032    56    0.2      0.0324232   0.318212   5     
0.0032    100   0.2      0.0364707   0.420591   5     
0.0032    180   0.2      0.0363283   0.57134    5     
0.0032    320   0.2      0.0420295   0.797135   5     
0.0032    560   0.2      0.0422214   1.15314    5     
0.0032    1000  0.2      0.0405076   1.73211    5     
0.0032    3.2   0.5      0.026961    0.105787   5     
0.0032    5.6   0.5      0.0300213   0.135656   5     
0.0032    10    0.5      0.0317744   0.177314   5     
0.0032    18    0.5      0.0306653   0.232881   5     
0.0032    32    0.5      0.0322318   0.306701   5     
0.0032    56    0.5      0.0348582   0.404426   5     
0.0032    100   0.5      0.0303572   0.544297   5     
0.0032    180   0.5      0.0326124   0.74239    5     
0.0032    320   0.5      0.0315386   1.01931    5     
0.0032    560   0.5      0.0326822   1.41622    5     
0.0032    1000  0.5      0.0299032   2.05951    5     
0.0032    1800  0.5      0.0310855   3.13579    5     
0.0032    5.6   0.8      0.0392045   0.140117   5     
0.0032    10    0.8      0.0365025   0.194538   5     
0.0032    18    0.8      0.0329458   0.271833   5     
0.0032    32    0.8      0.0297637   0.377055   5     
0.0032    56    0.8      0.0258984   0.518678   5     
0.0032    100   0.8      0.0278926   0.72274    5     
0.0032    180   0.8      0.0235034   1.01478    5     
0.0032    320   0.8      0.022915    1.42322    5     
0.0032    560   0.8      0.0196247   1.99927    5     
0.0032    1000  0.8      0.0229307   2.9015     5     
0.0032    1800  0.8      0.0197749   4.38034    5     
0.0032    3200  0.8      0.0166305   6.75472    5     


#$xi 0.0056;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.0056    1.8   0.00032  0.00624114  0.222842  5     
0.0056    1.8   0.00057  0.00630338  0.192568  5     
0.0056    3.2   0.00057  0.0296737   0.136771  5     
0.0056    1.8   0.001    0.00637632  0.184407  5     
0.0056    3.2   0.001    0.0266637   0.126567  5     
0.0056    5.6   0.001    0.0495067   0.138502  5     
0.0056    1.8   0.0018   0.00573678  0.183478  5     
0.0056    3.2   0.0018   0.0224058   0.125411  5     
0.0056    5.6   0.0018   0.0397281   0.130372  5     
0.0056    10    0.0018   0.066922    0.159554  5     
0.0056    1.8   0.0032   0.00616685  0.185211  5     
0.0056    3.2   0.0032   0.0210844   0.129142  5     
0.0056    5.6   0.0032   0.0413085   0.131205  5     
0.0056    10    0.0032   0.060603    0.15243   5     
0.0056    18    0.0032   0.0740468   0.198936  5     
0.0056    1.8   0.0057   0.00484549  0.187038  5     
0.0056    3.2   0.0057   0.0200645   0.13571   5     
0.0056    5.6   0.0057   0.0336881   0.137071  5     
0.0056    10    0.0057   0.0476259   0.155047  5     
0.0056    18    0.0057   0.0687992   0.191906  5     
0.0056    32    0.0057   0.0879613   0.259365  5     
0.0056    1.8   0.01     0.00515714  0.187121  5     
0.0056    3.2   0.01     0.0166278   0.143596  5     
0.0056    5.6   0.01     0.0287326   0.145916  5     
0.0056    10    0.01     0.0395668   0.163416  5     
0.0056    18    0.01     0.0574656   0.196678  5     
0.0056    32    0.01     0.0657055   0.252788  5     
0.0056    56    0.01     0.0815021   0.348898  5     
0.0056    1.8   0.018    0.00519726  0.183809  5     
0.0056    3.2   0.018    0.012506    0.152246  5     
0.0056    5.6   0.018    0.0209737   0.15716   5     
0.0056    10    0.018    0.035273    0.176179  5     
0.0056    18    0.018    0.0492747   0.209545  5     
0.0056    32    0.018    0.0544535   0.261661  5     
0.0056    56    0.018    0.0681705   0.343577  5     
0.0056    100   0.018    0.0708876   0.488694  5     
0.0056    1.8   0.032    0.00593193  0.176156  5     
0.0056    3.2   0.032    0.0136432   0.159518  5     
0.0056    5.6   0.032    0.020511    0.168731  5     
0.0056    10    0.032    0.0279179   0.190976  5     
0.0056    18    0.032    0.0376305   0.226929  5     
0.0056    32    0.032    0.0449808   0.280126  5     
0.0056    56    0.032    0.0524968   0.358227  5     
0.0056    100   0.032    0.0570052   0.485321  5     
0.0056    180   0.032    0.0603127   0.704423  5     
0.0056    1.8   0.057    0.00605216  0.163704  5     
0.0056    3.2   0.057    0.0125361   0.162523  5     
0.0056    5.6   0.057    0.0179347   0.178441  5     
0.0056    10    0.057    0.0250711   0.205577  5     
0.0056    18    0.057    0.0276472   0.246222  5     
0.0056    32    0.057    0.0381252   0.303761  5     
0.0056    56    0.057    0.0453208   0.384413  5     
0.0056    100   0.057    0.0460654   0.50719   5     
0.0056    180   0.057    0.0508819   0.701819  5     
0.0056    320   0.057    0.053345    1.02195   5     
0.0056    1.8   0.1      0.0075582   0.147569  5     
0.0056    3.2   0.1      0.0125826   0.158813  5     
0.0056    5.6   0.1      0.0174251   0.181454  5     
0.0056    10    0.1      0.0234026   0.214887  5     
0.0056    18    0.1      0.024975    0.262018  5     
0.0056    32    0.1      0.0304497   0.325965  5     
0.0056    56    0.1      0.0376016   0.412697  5     
0.0056    100   0.1      0.0407182   0.539451  5     
0.0056    180   0.1      0.0428906   0.727818  5     
0.0056    320   0.1      0.0419406   1.01462   5     
0.0056    560   0.1      0.0430562   1.47488   5     
0.0056    3.2   0.2      0.0161727   0.109693  5     
0.0056    5.6   0.2      0.0181399   0.131331  5     
0.0056    10    0.2      0.0219705   0.161567  5     
0.0056    18    0.2      0.0241772   0.202945  5     
0.0056    32    0.2      0.0308428   0.257774  5     
0.0056    56    0.2      0.0295513   0.330123  5     
0.0056    100   0.2      0.0323169   0.432834  5     
0.0056    180   0.2      0.033247    0.578937  5     
0.0056    320   0.2      0.0336455   0.786121  5     
0.0056    560   0.2      0.0372944   1.09141   5     
0.0056    1000  0.2      0.0341805   1.60515   5     
0.0056    1800  0.2      0.0366469   2.41643   5     
0.0056    5.6   0.5      0.0265907   0.142476  5     
0.0056    10    0.5      0.027477    0.186369  5     
0.0056    18    0.5      0.0277891   0.244861  5     
0.0056    32    0.5      0.0295147   0.322354  5     
0.0056    56    0.5      0.0299327   0.424476  5     
0.0056    100   0.5      0.0304027   0.569494  5     
0.0056    180   0.5      0.0314388   0.772055  5     
0.0056    320   0.5      0.0292367   1.04857   5     
0.0056    560   0.5      0.0264789   1.43005   5     
0.0056    1000  0.5      0.0285579   2.01442   5     
0.0056    1800  0.5      0.0288604   2.95219   5     
0.0056    3200  0.5      0.0301328   4.46064   5     
0.0056    10    0.8      0.03079     0.205929  5     
0.0056    18    0.8      0.029343    0.287683  5     
0.0056    32    0.8      0.0258083   0.398815  5     
0.0056    56    0.8      0.0250041   0.548012  5     
0.0056    100   0.8      0.0233012   0.762008  5     
0.0056    180   0.8      0.0202869   1.06574   5     
0.0056    320   0.8      0.0220334   1.48442   5     
0.0056    560   0.8      0.0198137   2.06079   5     
0.0056    1000  0.8      0.0187668   2.92837   5     
0.0056    1800  0.8      0.0154931   4.27223   5     
0.0056    3200  0.8      0.0169825   6.39685   5     
0.0056    5600  0.8      0.0149294   9.7405    5     


#$xi 0.01;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.01    1.8    0.00018  0.00861366  0.194758  5     
0.01    1.8    0.00032  0.00709799  0.173413  5     
0.01    3.2    0.00032  0.0332067   0.129058  5     
0.01    1.8    0.00057  0.00853546  0.167938  5     
0.01    3.2    0.00057  0.0316268   0.119967  5     
0.01    5.6    0.00057  0.0548113   0.130737  5     
0.01    1.8    0.001    0.0074418   0.168724  5     
0.01    3.2    0.001    0.0278996   0.119066  5     
0.01    5.6    0.001    0.0534935   0.123718  5     
0.01    10     0.001    0.0809685   0.150979  5     
0.01    1.8    0.0018   0.00698943  0.172263  5     
0.01    3.2    0.0018   0.0229297   0.122652  5     
0.01    5.6    0.0018   0.0417777   0.124374  5     
0.01    10     0.0018   0.0652904   0.144088  5     
0.01    18     0.0018   0.0895625   0.187235  5     
0.01    1.8    0.0032   0.00524893  0.176403  5     
0.01    3.2    0.0032   0.0205227   0.128838  5     
0.01    5.6    0.0032   0.0394439   0.129703  5     
0.01    10     0.0032   0.0609701   0.146297  5     
0.01    18     0.0032   0.0780387   0.180529  5     
0.01    32     0.0032   0.0925224   0.24287   5     
0.01    1.8    0.0057   0.00603623  0.179757  5     
0.01    3.2    0.0057   0.0177268   0.136776  5     
0.01    5.6    0.0057   0.0293717   0.138111  5     
0.01    10     0.0057   0.0468271   0.154093  5     
0.01    18     0.0057   0.0595943   0.184808  5     
0.01    32     0.0057   0.078603    0.236418  5     
0.01    56     0.0057   0.0931529   0.324318  5     
0.01    1.8    0.01     0.00544871  0.180963  5     
0.01    3.2    0.01     0.0152872   0.145374  5     
0.01    5.6    0.01     0.0283075   0.148437  5     
0.01    10     0.01     0.0366136   0.165424  5     
0.01    18     0.01     0.0525249   0.195933  5     
0.01    32     0.01     0.0670338   0.243808  5     
0.01    56     0.01     0.0750528   0.319076  5     
0.01    100    0.01     0.0888243   0.45223   5     
0.01    1.8    0.018    0.00603572  0.178751  5     
0.01    3.2    0.018    0.0136651   0.154308  5     
0.01    5.6    0.018    0.0231818   0.160586  5     
0.01    10     0.018    0.0303901   0.180107  5     
0.01    18     0.018    0.0443603   0.212777  5     
0.01    32     0.018    0.0561955   0.261314  5     
0.01    56     0.018    0.0613956   0.332623  5     
0.01    100    0.018    0.0651778   0.448511  5     
0.01    180    0.018    0.0755052   0.647875  5     
0.01    1.8    0.032    0.00613452  0.172283  5     
0.01    3.2    0.032    0.0126507   0.161524  5     
0.01    5.6    0.032    0.0184832   0.172571  5     
0.01    10     0.032    0.0260799   0.196043  5     
0.01    18     0.032    0.0330621   0.232601  5     
0.01    32     0.032    0.0465365   0.284879  5     
0.01    56     0.032    0.0432135   0.358337  5     
0.01    100    0.032    0.0502582   0.470206  5     
0.01    180    0.032    0.0569039   0.647294  5     
0.01    320    0.032    0.0617656   0.938464  5     
0.01    1.8    0.057    0.0069946   0.161221  5     
0.01    3.2    0.057    0.0111972   0.164405  5     
0.01    5.6    0.057    0.0170118   0.182357  5     
0.01    10     0.057    0.0229011   0.21125   5     
0.01    18     0.057    0.0279941   0.25341   5     
0.01    32     0.057    0.0328315   0.311742  5     
0.01    56     0.057    0.0361957   0.391303  5     
0.01    100    0.057    0.0468339   0.50749   5     
0.01    180    0.057    0.047595    0.679919  5     
0.01    320    0.057    0.0475453   0.941637  5     
0.01    560    0.057    0.0506216   1.36145   5     
0.01    1.8    0.1      0.00834523  0.146608  5     
0.01    3.2    0.1      0.0131956   0.160828  5     
0.01    5.6    0.1      0.0148235   0.185438  5     
0.01    10     0.1      0.0191784   0.220873  5     
0.01    18     0.1      0.0244374   0.270091  5     
0.01    32     0.1      0.0268826   0.335948  5     
0.01    56     0.1      0.0330188   0.423791  5     
0.01    100    0.1      0.0348959   0.549013  5     
0.01    180    0.1      0.0376083   0.72758   5     
0.01    320    0.1      0.0428369   0.982604  5     
0.01    560    0.1      0.0414118   1.36312   5     
0.01    1000   0.1      0.0393614   2.01223   5     
0.01    5.6    0.2      0.0187089   0.134772  5     
0.01    10     0.2      0.0233003   0.166567  5     
0.01    18     0.2      0.0239378   0.209811  5     
0.01    32     0.2      0.025652    0.266752  5     
0.01    56     0.2      0.0297619   0.341278  5     
0.01    100    0.2      0.0283559   0.445767  5     
0.01    180    0.2      0.0304417   0.591273  5     
0.01    320    0.2      0.0361331   0.790414  5     
0.01    560    0.2      0.032239    1.06822   5     
0.01    1000   0.2      0.0356844   1.50466   5     
0.01    1800   0.2      0.0372344   2.22951   5     
0.01    3200   0.2      0.0363388   3.3244    5     
0.01    10     0.5      0.0257367   0.194725  5     
0.01    18     0.5      0.0267762   0.256186  5     
0.01    32     0.5      0.0260319   0.337471  5     
0.01    56     0.5      0.0278337   0.444289  5     
0.01    100    0.5      0.0263365   0.595251  5     
0.01    180    0.5      0.0265071   0.804399  5     
0.01    320    0.5      0.0261731   1.08585   5     
0.01    560    0.5      0.0238721   1.46494   5     
0.01    1000   0.5      0.0242003   2.02302   5     
0.01    1800   0.5      0.0257092   2.86681   5     
0.01    3200   0.5      0.0278341   4.17087   5     
0.01    5600   0.5      0.031548    6.23002   5     
0.01    18     0.8      0.0274485   0.30428   5     
0.01    32     0.8      0.0222207   0.421751  5     
0.01    56     0.8      0.0222888   0.579229  5     
0.01    100    0.8      0.0205707   0.804507  5     
0.01    180    0.8      0.018862    1.1227    5     
0.01    320    0.8      0.0186312   1.55755   5     
0.01    560    0.8      0.0165029   2.14745   5     
0.01    1000   0.8      0.0172255   3.01318   5     
0.01    1800   0.8      0.0144364   4.29849   5     
0.01    3200   0.8      0.0139264   6.21561   5     
0.01    5600   0.8      0.0108551   9.18833   5     
0.01    10000  0.8      0.0118456   14.1862   5     


#$xi 0.018;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.018    1.8    0.0001   0.01144     0.161859  5     
0.018    1.8    0.00018  0.0124725   0.147796  5     
0.018    3.2    0.00018  0.0403515   0.117816  5     
0.018    1.8    0.00032  0.0107987   0.144816  5     
0.018    3.2    0.00032  0.0359466   0.110495  5     
0.018    5.6    0.00032  0.0630513   0.120528  5     
0.018    1.8    0.00057  0.00877595  0.14683   5     
0.018    3.2    0.00057  0.0325315   0.110005  5     
0.018    5.6    0.00057  0.0589294   0.114586  5     
0.018    10     0.00057  0.0931122   0.139206  5     
0.018    1.8    0.001    0.0087918   0.151143  5     
0.018    3.2    0.001    0.0304486   0.113305  5     
0.018    5.6    0.001    0.0463931   0.115316  5     
0.018    10     0.001    0.0821058   0.133614  5     
0.018    18     0.001    0.104562    0.173119  5     
0.018    1.8    0.0018   0.00811391  0.156648  5     
0.018    3.2    0.0018   0.0226265   0.119199  5     
0.018    5.6    0.0018   0.0436967   0.12029   5     
0.018    10     0.0018   0.0682925   0.13565   5     
0.018    18     0.0018   0.0837665   0.16706   5     
0.018    32     0.0018   0.111502    0.223536  5     
0.018    1.8    0.0032   0.00767912  0.161929  5     
0.018    3.2    0.0032   0.0222081   0.126572  5     
0.018    5.6    0.0032   0.0354364   0.127933  5     
0.018    10     0.0032   0.0521608   0.142676  5     
0.018    18     0.0032   0.0696713   0.170874  5     
0.018    32     0.0032   0.0902819   0.217858  5     
0.018    56     0.0032   0.111871    0.297265  5     
0.018    1.8    0.0057   0.00610756  0.166112  5     
0.018    3.2    0.0057   0.017234    0.13505   5     
0.018    5.6    0.0057   0.0298424   0.137646  5     
0.018    10     0.0057   0.0447957   0.153223  5     
0.018    18     0.0057   0.0606986   0.181187  5     
0.018    32     0.0057   0.0782645   0.224697  5     
0.018    56     0.0057   0.0929512   0.292625  5     
0.018    100    0.0057   0.0997709   0.411839  5     
0.018    1.8    0.01     0.00697093  0.168106  5     
0.018    3.2    0.01     0.0167237   0.143723  5     
0.018    5.6    0.01     0.0272528   0.14862   5     
0.018    10     0.01     0.037699    0.166126  5     
0.018    18     0.01     0.0521636   0.195746  5     
0.018    32     0.01     0.0662437   0.239704  5     
0.018    56     0.01     0.0711514   0.304127  5     
0.018    100    0.01     0.0815301   0.408595  5     
0.018    180    0.01     0.0861318   0.587634  5     
0.018    1.8    0.018    0.00621003  0.166946  5     
0.018    3.2    0.018    0.0145251   0.152348  5     
0.018    5.6    0.018    0.0241112   0.160944  5     
0.018    10     0.018    0.030872    0.181693  5     
0.018    18     0.018    0.0424981   0.214721  5     
0.018    32     0.018    0.0488773   0.261898  5     
0.018    56     0.018    0.05918     0.328081  5     
0.018    100    0.018    0.0663106   0.428604  5     
0.018    180    0.018    0.0683936   0.587175  5     
0.018    320    0.018    0.0737412   0.846905  5     
0.018    1.8    0.032    0.00718252  0.161894  5     
0.018    3.2    0.032    0.0125828   0.158998  5     
0.018    5.6    0.032    0.0191613   0.172667  5     
0.018    10     0.032    0.0277289   0.197895  5     
0.018    18     0.032    0.0313058   0.23567   5     
0.018    32     0.032    0.0390567   0.288166  5     
0.018    56     0.032    0.0480992   0.359766  5     
0.018    100    0.032    0.0509944   0.464225  5     
0.018    180    0.032    0.0586737   0.61881   5     
0.018    320    0.032    0.058492    0.852816  5     
0.018    560    0.032    0.0655087   1.22733   5     
0.018    1.8    0.057    0.00776748  0.152738  5     
0.018    3.2    0.057    0.0116059   0.161463  5     
0.018    5.6    0.057    0.0171316   0.181929  5     
0.018    10     0.057    0.0210708   0.2129    5     
0.018    18     0.057    0.0283514   0.256867  5     
0.018    32     0.057    0.0351692   0.316471  5     
0.018    56     0.057    0.0367224   0.396213  5     
0.018    100    0.057    0.040473    0.50969   5     
0.018    180    0.057    0.046351    0.671186  5     
0.018    320    0.057    0.0507185   0.900877  5     
0.018    560    0.057    0.0485825   1.24209   5     
0.018    1000   0.057    0.0464685   1.82284   5     
0.018    3.2    0.1      0.0131008   0.158121  5     
0.018    5.6    0.1      0.0163479   0.184835  5     
0.018    10     0.1      0.0206519   0.222299  5     
0.018    18     0.1      0.0233327   0.273561  5     
0.018    32     0.1      0.0279513   0.341319  5     
0.018    56     0.1      0.029022    0.430603  5     
0.018    100    0.1      0.0332151   0.555929  5     
0.018    180    0.1      0.0382966   0.730273  5     
0.018    320    0.1      0.0361542   0.969323  5     
0.018    560    0.1      0.0403886   1.30466   5     
0.018    1000   0.1      0.0426344   1.83711   5     
0.018    1800   0.1      0.0382277   2.73107   5     
0.018    10     0.2      0.0206717   0.168226  5     
0.018    18     0.2      0.0233037   0.213034  5     
0.018    32     0.2      0.0253362   0.271723  5     
0.018    56     0.2      0.0294911   0.348103  5     
0.018    100    0.2      0.0275145   0.45438   5     
