&Data
   Name = 'h1_fps'
   NData = 121
   NColumn = 21
   ColumnType = 3*'Bin','Sigma', 17*'Error'
!   ColumnName = 'Bla', 'Y',  'x-section', 'stat', 'uncor','sys1', 'uncor', 'sys26','sys3','sys4','sys5','sys6','sys7', 'uncor', 'sys8', 'sys9', 'uncor', 'sys10','sys11','sys12','sys13','sys14','sys15','sys16','sys30','sys20'
    ColumnName = 'Q2', 'xBj', 'xp', 'Sigma', 'stat', 'uncor', 'haden1', 'haden2', 'elecen', 'electh', 'difbeta', 'difxpom', 'dift', 'epfps', 'pxfps', 'pyfps', 'difq2', 'vtxeff', 'backgr', 'bcccor', 'norm'
   Reaction = 'NC'
   Percent = true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
!*
!* Q2 x_Bj xIP  xIPsig stat uncorr haden1 haden2 elecen electh difbeta difxpom dift epfps pxfps pyfps difq2 vtxeff backgr bcccor norm
!*
&END
     5.1   0.000090     0.0500    0.01983     5.90     0.00     0.00    -0.20    4.20     0.70    -0.90     0.00    -2.80     1.10     5.00     2.90     1.50    -2.40    -1.10     1.00     4.80   
     5.1   0.000135     0.0750    0.02316     6.70     0.00     0.00    -0.10    1.10     2.70    -0.40     0.10    -3.10     0.80     4.70     2.10     1.00    -0.90    -1.70     0.30     4.80   
     5.1   0.000090     0.0160    0.01314     4.10     0.00     0.00    -0.50    2.80     3.10    -0.90    -0.10     1.10     3.00     6.40     1.30     1.90    -3.00    -1.60     1.20     4.80   
     5.1   0.000140     0.0250    0.01127     3.60     0.00     0.00     0.00    2.20     3.50    -0.40     0.00     0.20     1.50     6.30     1.50     1.70    -1.50    -0.70     0.50     4.80   
     5.1   0.000196     0.0350    0.01272     4.20     0.00     0.00    -0.30    1.20     3.70     0.00     0.10     0.10     2.20     5.00     2.20     1.20    -0.80    -0.30     0.30     4.80   
     5.1   0.000280     0.0500    0.01382     4.30     0.00     0.00     0.00   -1.00     6.90    -0.20     0.10    -1.10     0.30     4.10     2.90     1.40    -0.80    -0.40     0.20     4.80   
     5.1   0.000420     0.0750    0.01781     6.40     0.00     0.00     0.00   -0.60     7.30    -0.60     0.20    -3.70    -0.10     4.10     3.70     1.20    -0.80    -2.00     0.20     4.80   
     5.1   0.000151     0.0085    0.01043     2.90     0.00    -6.70     0.00    2.00     4.20    -0.70    -0.10     0.60     1.10     5.20     0.90     1.30    -1.30    -2.70     1.10     4.80   
     5.1   0.000285     0.0160    0.01051     2.70     0.00     0.00     0.20    0.20     5.60     0.10     0.10     0.80     4.30     5.10     1.30     1.10    -0.90    -1.20     0.30     4.80   
     5.1   0.000445     0.0250    0.01007     3.30     0.00     0.00     0.00    0.70     6.40    -0.10     0.00     1.30     0.70     5.20     1.70     1.10    -1.20    -0.50     0.30     4.80   
     5.1   0.000623     0.0350    0.00947     4.60     0.00     0.00     0.00    0.50     7.00    -0.40     0.10     0.60     1.20     3.90     2.10     0.60    -1.10    -0.40     0.30     4.80   
     5.1   0.000890     0.0500    0.01287     5.00     0.00     0.00     0.00    0.80     6.50    -0.60     0.10    -1.70     1.30     3.80     3.10     0.20    -1.30    -0.30     0.20     4.80   
     5.1   0.001335     0.0750    0.01615     8.30     0.00     0.00     0.00    0.40     4.30    -0.40     0.20    -3.40     0.20     5.00     1.70    -0.20    -1.10    -2.20     0.20     4.80   
     5.1   0.000141     0.0025    0.01017     2.50     0.00    -4.30     0.00    0.70     2.90    -1.10     0.10    -0.20    -6.40     4.00     0.90     1.00    -1.10    -2.70     2.00     4.80   
     5.1   0.000478     0.0085    0.00888     2.80     0.00     2.50     0.00   -0.50     4.40     0.40     0.00     0.00     7.00     3.50     0.70     0.70    -0.80    -0.70     0.50     4.80   
     5.1   0.000899     0.0160    0.00846     3.40     0.00     0.00     0.00   -0.20     4.80    -0.80     0.00     0.80     3.80     5.50     1.30     0.50    -1.30    -1.30     0.30     4.80   
     5.1   0.001405     0.0250    0.00811     4.70     0.00     0.00     0.00   -1.70     2.30     0.50     0.20    -0.60     2.80     5.10     2.40    -0.30    -1.50    -0.60     0.30     4.80   
     5.1   0.000445     0.0025    0.01108     1.70     0.00    -2.30     0.00    0.20     6.50    -0.40     0.00    -0.80    -1.40     7.00     1.80     1.30    -1.40    -2.00     2.20     4.80   
