#-*-sh-*-
# 
# H1 HERA-I diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "ddis"  # A unique alpos name 
Description                    	"H1 DDIS NC e-p 98-99"
Reference                       "Eur.Phys.J. C48 (2006) 715-748" 
arXiv                           hep-ex/0606004
Inspire                         718190
Title                           "Measurement and QCD Analysis of the Diffractive Deep-Inelastic Scattering Cross Section at HERA"



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           301.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0.
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnType = 4*'Bin','Sigma',14*'Error'
#   ColumnName = 'xp','Q2','beta','mx','reduced x-section','stat','sys','total','unc','lar','ele','theta','noise',xpom','beta','bg','Plug','Q2','spa' 
#   Percent =  14*true

Data {{
"xp"      "Q2"     "beta"           "mx"             "Sigma"          "stat"  "sys"    "tot"  "unc"    "lar" "ele"     thSpac  thLAr   "noise" "xpom"  "Ubeta"   "bg"    "Plug"  "Q2err" "spa" TrigSpa
0.003     15.0 	 	 0.43 	     4.45912       	 0.0331 	 4.9 	 3.6 	 6.1 	 2.1 	 0.5 	 -1.2 	 1.9    0.0   	 0.7 	 -0.4 	 -0.5 	 -0.2 	 -0.1 	 0.1 	 0.4     1.0 
0.003     15.0 	 	 0.67 	     2.7181        	 0.0381 	 5.8 	 4.0 	 7.1 	 2.1 	 0.5 	 -1.5 	 1.6    0.0   	 1.7 	 1.0 	 0.5 	 -0.1 	 0.7 	 0.1 	 0.6     1.0 
0.003     20.0 	 	 0.11 	     12.7208       	 0.0276 	 9.0 	 4.1 	 9.9 	 2.1 	 0.2 	 2.5 	 0.4    0.0   	 -1.5 	 -0.4 	 -1.2 	 -0.4 	 0.2 	 0.4 	 1.3     1.0 
0.003     20.0 	 	 0.17 	     9.88165       	 0.0281 	 6.3 	 3.5 	 7.2 	 2.1 	 0.5 	 -1.5 	 1.0    0.0   	 -0.7 	 -0.2 	 -1.1 	 -0.9 	 0.2 	 0.4 	 -0.3    1.0 
0.003     20.0 	 	 0.27 	     7.35351       	 0.0321 	 5.9 	 3.6 	 6.9 	 2.1 	 -0.1 	 -1.4 	 0.8    0.0   	 -1.8 	 -0.4 	 -0.9 	 -0.1 	 -0.1 	 0.3 	 -0.3    1.0 
0.003     20.0 	 	 0.43 	     5.14894       	 0.0324 	 5.2 	 3.5 	 6.3 	 2.1 	 0.4 	 -1.7 	 1.2    0.0   	 -0.6 	 -0.2 	 -0.4 	 -0.2 	 -0.1 	 0.3 	 0.4     1.0 
0.003     20.0 	 	 0.67 	     3.13859       	 0.0411 	 6.3 	 3.6 	 7.3 	 2.1 	 0.7 	 -1.6 	 1.1    0.0   	 1.4 	 0.8 	 0.5 	 -0.1 	 0.1 	 0.3 	 0.3     1.0 
0.003     25.0 	 	 0.11 	     14.2223       	 0.0343 	 20.2 	 6.3 	 21.2 	 2.1 	 -1.3 	 -4.2 	 1.4    0.0   	 -2.1 	 -0.3 	 -1.6 	 0.0 	 -0.0 	 0.1 	 2.0     1.0 
0.003     25.0 	 	 0.17 	     11.048        	 0.0335 	 7.2 	 3.1 	 7.8 	 2.1 	 -0.0 	 0.8 	 0.4    0.0   	 0.9 	 -0.5 	 -1.0 	 0.0 	 0.5 	 0.1 	 1.1     1.0 
0.003     25.0 	 	 0.27 	     8.22147       	 0.0338 	 6.8 	 3.7 	 7.7 	 2.1 	 0.3 	 -1.9 	 1.1    0.0   	 -1.3 	 -0.3 	 -0.9 	 -0.2 	 -0.3 	 -0.0 	 -0.4    1.0 
